code,description,MELDB_concept,DESCRIPTION,CONCEPT TYPE
M081,,ANKYLOSING_SPONDYLITIS,Juvenile ankylosing spondylitis,Long-term condition
M0810,,ANKYLOSING_SPONDYLITIS,Juvenile ankylosing spondylitis,Long-term condition
M0811,,ANKYLOSING_SPONDYLITIS,Juvenile ankylosing spondylitis,Long-term condition
M0812,,ANKYLOSING_SPONDYLITIS,Juvenile ankylosing spondylitis,Long-term condition
M0813,,ANKYLOSING_SPONDYLITIS,Juvenile ankylosing spondylitis,Long-term condition
M0814,,ANKYLOSING_SPONDYLITIS,Juvenile ankylosing spondylitis,Long-term condition
M0815,,ANKYLOSING_SPONDYLITIS,Juvenile ankylosing spondylitis,Long-term condition
M0816,,ANKYLOSING_SPONDYLITIS,Juvenile ankylosing spondylitis,Long-term condition
M0817,,ANKYLOSING_SPONDYLITIS,Juvenile ankylosing spondylitis,Long-term condition
M0818,,ANKYLOSING_SPONDYLITIS,Juvenile ankylosing spondylitis,Long-term condition
M0819,,ANKYLOSING_SPONDYLITIS,Juvenile ankylosing spondylitis,Long-term condition
M45,,ANKYLOSING_SPONDYLITIS,Ankylosing spondylitis,Long-term condition
M45X0,,ANKYLOSING_SPONDYLITIS,Ankylosing spondylitis,Long-term condition
M45X1,,ANKYLOSING_SPONDYLITIS,Ankylosing spondylitis,Long-term condition
M45X2,,ANKYLOSING_SPONDYLITIS,Ankylosing spondylitis,Long-term condition
M45X3,,ANKYLOSING_SPONDYLITIS,Ankylosing spondylitis,Long-term condition
M45X4,,ANKYLOSING_SPONDYLITIS,Ankylosing spondylitis,Long-term condition
M45X5,,ANKYLOSING_SPONDYLITIS,Ankylosing spondylitis,Long-term condition
M45X6,,ANKYLOSING_SPONDYLITIS,Ankylosing spondylitis,Long-term condition
M45X7,,ANKYLOSING_SPONDYLITIS,Ankylosing spondylitis,Long-term condition
M45X8,,ANKYLOSING_SPONDYLITIS,Ankylosing spondylitis,Long-term condition
M45X9,,ANKYLOSING_SPONDYLITIS,Ankylosing spondylitis,Long-term condition
