code,description,MELDB_concept,DESCRIPTION,CONCEPT TYPE
E10,,DIABETES_T1,Type 1 diabetes mellitus,Long-term condition
E100,,DIABETES_T1,Type 1 diabetes mellitus,Long-term condition
E101,,DIABETES_T1,Type 1 diabetes mellitus,Long-term condition
E102,,DIABETES_T1,Type 1 diabetes mellitus,Long-term condition
E103,,DIABETES_T1,Type 1 diabetes mellitus,Long-term condition
E104,,DIABETES_T1,Type 1 diabetes mellitus,Long-term condition
E105,,DIABETES_T1,Type 1 diabetes mellitus,Long-term condition
E106,,DIABETES_T1,Type 1 diabetes mellitus,Long-term condition
E107,,DIABETES_T1,Type 1 diabetes mellitus,Long-term condition
E108,,DIABETES_T1,Type 1 diabetes mellitus,Long-term condition
E109,,DIABETES_T1,Type 1 diabetes mellitus,Long-term condition
O240,,DIABETES_T1,Diabetes mellitus in pregnancy: Pre-existing type 1 diabetes mellitus,Long-term condition
