code,description,MELDB_concept,DESCRIPTION,CONCEPT TYPE
M797,,FIBROMYALGIA,Fibromyalgia,Long-term condition
M7970,,FIBROMYALGIA,Fibromyalgia,Long-term condition
M7971,,FIBROMYALGIA,Fibromyalgia,Long-term condition
M7972,,FIBROMYALGIA,Fibromyalgia,Long-term condition
M7973,,FIBROMYALGIA,Fibromyalgia,Long-term condition
M7974,,FIBROMYALGIA,Fibromyalgia,Long-term condition
M7975,,FIBROMYALGIA,Fibromyalgia,Long-term condition
M7976,,FIBROMYALGIA,Fibromyalgia,Long-term condition
M7977,,FIBROMYALGIA,Fibromyalgia,Long-term condition
M7978,,FIBROMYALGIA,Fibromyalgia,Long-term condition
M7979,,FIBROMYALGIA,Fibromyalgia,Long-term condition
