code,description,MELDB_concept,DESCRIPTION,CONCEPT TYPE
C77,,METASTATIC_CANCER,Secondary and unspecified malignant neoplasm of lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C770,,METASTATIC_CANCER,"Secondary and unspecified malignant neoplasm: Lymph nodes of head, face and neck",Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C771,,METASTATIC_CANCER,Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C772,,METASTATIC_CANCER,Secondary and unspecified malignant neoplasm: Intra-abdominal lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C773,,METASTATIC_CANCER,Secondary and unspecified malignant neoplasm: Axillary and upper limb lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C774,,METASTATIC_CANCER,Secondary and unspecified malignant neoplasm: Inguinal and lower limb lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C775,,METASTATIC_CANCER,Secondary and unspecified malignant neoplasm: Intrapelvic lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C778,,METASTATIC_CANCER,Secondary and unspecified malignant neoplasm: Lymph nodes of multiple regions,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C779,,METASTATIC_CANCER,"Secondary and unspecified malignant neoplasm: Lymph node, unspecified",Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C78,,METASTATIC_CANCER,Secondary malignant neoplasm of respiratory and digestive organs,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C780,,METASTATIC_CANCER,Secondary malignant neoplasm of lung,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C781,,METASTATIC_CANCER,Secondary malignant neoplasm of mediastinum,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C782,,METASTATIC_CANCER,Secondary malignant neoplasm of pleura,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C783,,METASTATIC_CANCER,Secondary malignant neoplasm of other and unspecified respiratory organs,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C784,,METASTATIC_CANCER,Secondary malignant neoplasm of small intestine,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C785,,METASTATIC_CANCER,Secondary malignant neoplasm of large intestine and rectum,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C786,,METASTATIC_CANCER,Secondary malignant neoplasm of retroperitoneum and peritoneum,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C787,,METASTATIC_CANCER,Secondary malignant neoplasm of liver and intrahepatic bile duct,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C788,,METASTATIC_CANCER,Secondary malignant neoplasm of other and unspecified digestive organs,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C79,,METASTATIC_CANCER,Secondary malignant neoplasm of other and unspecified sites,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C790,,METASTATIC_CANCER,Secondary malignant neoplasm of kidney and renal pelvis,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C791,,METASTATIC_CANCER,Secondary malignant neoplasm of bladder and other and unspecified urinary organs,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C792,,METASTATIC_CANCER,Secondary malignant neoplasm of skin,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C793,,METASTATIC_CANCER,Secondary malignant neoplasm of brain and cerebral meninges,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C794,,METASTATIC_CANCER,Secondary malignant neoplasm of other and unspecified parts of nervous system,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C795,,METASTATIC_CANCER,Secondary malignant neoplasm of bone and bone marrow,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C796,,METASTATIC_CANCER,Secondary malignant neoplasm of ovary,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C797,,METASTATIC_CANCER,Secondary malignant neoplasm of adrenal gland,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C798,,METASTATIC_CANCER,Secondary malignant neoplasm of other specified sites,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
C799,,METASTATIC_CANCER,"Secondary malignant neoplasm, unspecified site",Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
