code,description,MELDB_concept,DESCRIPTION,CONCEPT TYPE
M80,,OSTEOPOROSIS,Osteoporosis with pathological fracture,Long-term condition
M800,,OSTEOPOROSIS,Postmenopausal osteoporosis with pathological fracture,Long-term condition
M8000,,OSTEOPOROSIS,Postmenopausal osteoporosis with pathological fracture,Long-term condition
M8001,,OSTEOPOROSIS,Postmenopausal osteoporosis with pathological fracture,Long-term condition
M8002,,OSTEOPOROSIS,Postmenopausal osteoporosis with pathological fracture,Long-term condition
M8003,,OSTEOPOROSIS,Postmenopausal osteoporosis with pathological fracture,Long-term condition
M8004,,OSTEOPOROSIS,Postmenopausal osteoporosis with pathological fracture,Long-term condition
M8005,,OSTEOPOROSIS,Postmenopausal osteoporosis with pathological fracture,Long-term condition
M8006,,OSTEOPOROSIS,Postmenopausal osteoporosis with pathological fracture,Long-term condition
M8007,,OSTEOPOROSIS,Postmenopausal osteoporosis with pathological fracture,Long-term condition
M8008,,OSTEOPOROSIS,Postmenopausal osteoporosis with pathological fracture,Long-term condition
M8009,,OSTEOPOROSIS,Postmenopausal osteoporosis with pathological fracture,Long-term condition
M801,,OSTEOPOROSIS,Postoophorectomy osteoporosis with pathological fracture,Long-term condition
M8010,,OSTEOPOROSIS,Postoophorectomy osteoporosis with pathological fracture,Long-term condition
M8011,,OSTEOPOROSIS,Postoophorectomy osteoporosis with pathological fracture,Long-term condition
M8012,,OSTEOPOROSIS,Postoophorectomy osteoporosis with pathological fracture,Long-term condition
M8013,,OSTEOPOROSIS,Postoophorectomy osteoporosis with pathological fracture,Long-term condition
M8014,,OSTEOPOROSIS,Postoophorectomy osteoporosis with pathological fracture,Long-term condition
M8015,,OSTEOPOROSIS,Postoophorectomy osteoporosis with pathological fracture,Long-term condition
M8016,,OSTEOPOROSIS,Postoophorectomy osteoporosis with pathological fracture,Long-term condition
M8017,,OSTEOPOROSIS,Postoophorectomy osteoporosis with pathological fracture,Long-term condition
M8018,,OSTEOPOROSIS,Postoophorectomy osteoporosis with pathological fracture,Long-term condition
M8019,,OSTEOPOROSIS,Postoophorectomy osteoporosis with pathological fracture,Long-term condition
M802,,OSTEOPOROSIS,Osteoporosis of disuse with pathological fracture,Long-term condition
M8020,,OSTEOPOROSIS,Osteoporosis of disuse with pathological fracture,Long-term condition
