code,description,MELDB_concept,DESCRIPTION,CONCEPT TYPE
C882,,PLASMACELL,Other heavy chain disease,Long-term condition
C90,,PLASMACELL,Multiple myeloma and malignant plasma cell neoplasms,Long-term condition
C900,,PLASMACELL,Multiple myeloma,Long-term condition
C901,,PLASMACELL,Plasma cell leukaemia,Long-term condition
C902,,PLASMACELL,Extramedullary plasmacytoma,Long-term condition
C903,,PLASMACELL,Solitary plasmacytoma,Long-term condition
M820,,PLASMACELL,Osteoporosis in multiple myelomatosis,Long-term condition
M8200,,PLASMACELL,Osteoporosis in multiple myelomatosis,Long-term condition
M8201,,PLASMACELL,Osteoporosis in multiple myelomatosis,Long-term condition
M8202,,PLASMACELL,Osteoporosis in multiple myelomatosis,Long-term condition
M8203,,PLASMACELL,Osteoporosis in multiple myelomatosis,Long-term condition
M8204,,PLASMACELL,Osteoporosis in multiple myelomatosis,Long-term condition
M8205,,PLASMACELL,Osteoporosis in multiple myelomatosis,Long-term condition
M8206,,PLASMACELL,Osteoporosis in multiple myelomatosis,Long-term condition
M8207,,PLASMACELL,Osteoporosis in multiple myelomatosis,Long-term condition
M8208,,PLASMACELL,Osteoporosis in multiple myelomatosis,Long-term condition
M8209,,PLASMACELL,Osteoporosis in multiple myelomatosis,Long-term condition
