code,description,MELDB_concept,DESCRIPTION,CONCEPT TYPE
L405,,PSORIASIS_ARTHRITIS,Arthropathic psoriasis,Long-term condition
M07,,PSORIASIS_ARTHRITIS,Psoriatic and enteropathic arthropathies,Long-term condition
M070,,PSORIASIS_ARTHRITIS,Distal interphalangeal psoriatic arthropathy,Long-term condition
M0700,,PSORIASIS_ARTHRITIS,Distal interphalangeal psoriatic arthropathy,Long-term condition
M0704,,PSORIASIS_ARTHRITIS,Distal interphalangeal psoriatic arthropathy,Long-term condition
M0707,,PSORIASIS_ARTHRITIS,Distal interphalangeal psoriatic arthropathy,Long-term condition
M0709,,PSORIASIS_ARTHRITIS,Distal interphalangeal psoriatic arthropathy,Long-term condition
M071,,PSORIASIS_ARTHRITIS,Arthritis mutilans,Long-term condition
M0710,,PSORIASIS_ARTHRITIS,Arthritis mutilans,Long-term condition
M0711,,PSORIASIS_ARTHRITIS,Arthritis mutilans,Long-term condition
M0712,,PSORIASIS_ARTHRITIS,Arthritis mutilans,Long-term condition
M0713,,PSORIASIS_ARTHRITIS,Arthritis mutilans,Long-term condition
M0714,,PSORIASIS_ARTHRITIS,Arthritis mutilans,Long-term condition
M0715,,PSORIASIS_ARTHRITIS,Arthritis mutilans,Long-term condition
M0716,,PSORIASIS_ARTHRITIS,Arthritis mutilans,Long-term condition
M0717,,PSORIASIS_ARTHRITIS,Arthritis mutilans,Long-term condition
M0718,,PSORIASIS_ARTHRITIS,Arthritis mutilans,Long-term condition
M0719,,PSORIASIS_ARTHRITIS,Arthritis mutilans,Long-term condition
M073,,PSORIASIS_ARTHRITIS,Other psoriatic arthropathies,Long-term condition
M0730,,PSORIASIS_ARTHRITIS,Other psoriatic arthropathies,Long-term condition
M0731,,PSORIASIS_ARTHRITIS,Other psoriatic arthropathies,Long-term condition
M0732,,PSORIASIS_ARTHRITIS,Other psoriatic arthropathies,Long-term condition
M0733,,PSORIASIS_ARTHRITIS,Other psoriatic arthropathies,Long-term condition
M0734,,PSORIASIS_ARTHRITIS,Other psoriatic arthropathies,Long-term condition
M0735,,PSORIASIS_ARTHRITIS,Other psoriatic arthropathies,Long-term condition
M0736,,PSORIASIS_ARTHRITIS,Other psoriatic arthropathies,Long-term condition
M0737,,PSORIASIS_ARTHRITIS,Other psoriatic arthropathies,Long-term condition
M0738,,PSORIASIS_ARTHRITIS,Other psoriatic arthropathies,Long-term condition
M0739,,PSORIASIS_ARTHRITIS,Other psoriatic arthropathies,Long-term condition
M090,,PSORIASIS_ARTHRITIS,Juvenile arthritis in psoriasis,Long-term condition
M0900,,PSORIASIS_ARTHRITIS,Juvenile arthritis in psoriasis,Long-term condition
M0901,,PSORIASIS_ARTHRITIS,Juvenile arthritis in psoriasis,Long-term condition
M0902,,PSORIASIS_ARTHRITIS,Juvenile arthritis in psoriasis,Long-term condition
M0903,,PSORIASIS_ARTHRITIS,Juvenile arthritis in psoriasis,Long-term condition
M0904,,PSORIASIS_ARTHRITIS,Juvenile arthritis in psoriasis,Long-term condition
M0905,,PSORIASIS_ARTHRITIS,Juvenile arthritis in psoriasis,Long-term condition
M0906,,PSORIASIS_ARTHRITIS,Juvenile arthritis in psoriasis,Long-term condition
M0907,,PSORIASIS_ARTHRITIS,Juvenile arthritis in psoriasis,Long-term condition
M0908,,PSORIASIS_ARTHRITIS,Juvenile arthritis in psoriasis,Long-term condition
M0909,,PSORIASIS_ARTHRITIS,Juvenile arthritis in psoriasis,Long-term condition
