code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
14AE.,,ANEURYSM,,H/O: aortic aneurysm,Long-term condition
585I0,,ANEURYSM,,Abdominal aortic aneurysm screen ultrasound scan abnormal,Long-term condition
68B51,,ANEURYSM,,Aortic aneurysm screening abnormal,Long-term condition
7A11.,,ANEURYSM,,Replacement of aneurysmal bifurcation of aorta,Long-term condition
7A110,,ANEURYSM,,Emerg repl aneurysm bifurc aorta by anast aorta to fem art,Long-term condition
7A111,,ANEURYSM,,Replace aneurysm bifurc aorta by anast aorta to femoral art,Long-term condition
7A112,,ANEURYSM,,Emerg repl aneurysm bifurc aorta by anast aorta to iliac a,Long-term condition
7A113,,ANEURYSM,,Y graft abdominal Aortic aneurysm,Long-term condition
7A11y,,ANEURYSM,,Replacement of aneurysmal bifurcation of aorta OS,Long-term condition
7A11z,,ANEURYSM,,Replacement of aneurysmal bifurcation of aorta NOS,Long-term condition
7A13.,,ANEURYSM,,Emergency repair of aortic aneurysm,Long-term condition
7A130,,ANEURYSM,,Emerg replace aneurysm asc aorta by anastom aorta to aorta,Long-term condition
7A131,,ANEURYSM,,Emerg replace aneurysm thor aorta by anastom aorta to aorta,Long-term condition
7A132,,ANEURYSM,,Emerg replace aneurysm suprarenal aorta by anast aorta/aorta,Long-term condition
7A133,,ANEURYSM,,Emerg replace aneurysm infrarenal aorta by anast aorta/aorta,Long-term condition
7A134,,ANEURYSM,,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC,Long-term condition
7A13y,,ANEURYSM,,Emergency replacement of aneurysmal segment of aorta OS,Long-term condition
7A13z,,ANEURYSM,,Emergency replacement of aneurysmal segment of aorta NOS,Long-term condition
7A14.,,ANEURYSM,,Aortic aneurysm repair,Long-term condition
7A140,,ANEURYSM,,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,Long-term condition
7A141,,ANEURYSM,,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,Long-term condition
