code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
1466.,,ANXIETY,,,Long-term condition
146G.,,ANXIETY,,H/O: agoraphobia,Long-term condition
1B13.,,ANXIETY,,,Long-term condition
2126J,,ANXIETY,,Anxiety resolved,Long-term condition
2258.,,ANXIETY,,O/E - anxious,Long-term condition
225J.,,ANXIETY,,,Long-term condition
285..,,ANXIETY,,,Long-term condition
286..,,ANXIETY,,,Long-term condition
8G94.,,ANXIETY,,,Long-term condition
8HHp.,,ANXIETY,,Referral for guided self-help for anxiety,Long-term condition
8IH53,,ANXIETY,,Referral for guided self-help for anxiety declined,Long-term condition
8IH57,,ANXIETY,,Rf fr psych mgt of anxiety dcl,Long-term condition
8T23.,,ANXIETY,,Refer fr psychl mgt of anxiety,Long-term condition
E2...,,ANXIETY,,,Long-term condition
E20..,,ANXIETY,,,Long-term condition
E200.,,ANXIETY,,,Long-term condition
E2000,,ANXIETY,,,Long-term condition
E2001,,ANXIETY,,,Long-term condition
E2002,,ANXIETY,,,Long-term condition
E2003,,ANXIETY,,,Long-term condition
E2004,,ANXIETY,,,Long-term condition
E2005,,ANXIETY,,,Long-term condition
E200z,,ANXIETY,,,Long-term condition
E201.,,ANXIETY,,,Long-term condition
E2010,,ANXIETY,,,Long-term condition
E2011,,ANXIETY,,,Long-term condition
E2012,,ANXIETY,,,Long-term condition
E2013,,ANXIETY,,,Long-term condition
E2014,,ANXIETY,,,Long-term condition
E2015,,ANXIETY,,,Long-term condition
E2016,,ANXIETY,,,Long-term condition
E2017,,ANXIETY,,,Long-term condition
E2018,,ANXIETY,,,Long-term condition
E2019,,ANXIETY,,,Long-term condition
E201A,,ANXIETY,,,Long-term condition
E201B,,ANXIETY,,,Long-term condition
E201C,,ANXIETY,,,Long-term condition
E201z,,ANXIETY,,,Long-term condition
E202.,,ANXIETY,,,Long-term condition
E2020,,ANXIETY,,,Long-term condition
E2021,,ANXIETY,,,Long-term condition
E2022,,ANXIETY,,,Long-term condition
E2023,,ANXIETY,,,Long-term condition
E2024,,ANXIETY,,,Long-term condition
E2025,,ANXIETY,,,Long-term condition
E2026,,ANXIETY,,,Long-term condition
E2027,,ANXIETY,,,Long-term condition
E2028,,ANXIETY,,,Long-term condition
E2029,,ANXIETY,,,Long-term condition
E202A,,ANXIETY,,,Long-term condition
E202B,,ANXIETY,,,Long-term condition
E202C,,ANXIETY,,,Long-term condition
E202D,,ANXIETY,,,Long-term condition
E202E,,ANXIETY,,,Long-term condition
E202z,,ANXIETY,,,Long-term condition
E203.,,ANXIETY,,,Long-term condition
E2030,,ANXIETY,,,Long-term condition
E2031,,ANXIETY,,,Long-term condition
E203z,,ANXIETY,,,Long-term condition
E204.,,ANXIETY,,,Long-term condition
E205.,,ANXIETY,,,Long-term condition
E206.,,ANXIETY,,,Long-term condition
E207.,,ANXIETY,,,Long-term condition
E20y.,,ANXIETY,,,Long-term condition
E20y0,,ANXIETY,,,Long-term condition
E20y1,,ANXIETY,,,Long-term condition
E20y2,,ANXIETY,,,Long-term condition
E20y3,,ANXIETY,,,Long-term condition
