code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
14AD.,,ARRHYTHMIA,,H/O ventricular fibrillation,Long-term condition
14AN.,,ARRHYTHMIA,,,Long-term condition
14AP.,,ARRHYTHMIA,,History of ventricular tachycardia,Long-term condition
14AQ.,,ARRHYTHMIA,,History of supraventricular tachycardia,Long-term condition
14AR.,,ARRHYTHMIA,,History of atrial flutter,Long-term condition
14O71,,ARRHYTHMIA,,At risk of atrial fibrillation,Long-term condition
14V1.,,ARRHYTHMIA,,H/O: cardiac pacemaker,Long-term condition
1R00.,,ARRHYTHMIA,,For attempted cardiopulmonary resuscitation,Long-term condition
1R10.,,ARRHYTHMIA,,Not for attempted CPR (cardiopulmonary resuscitation),Long-term condition
212R.,,ARRHYTHMIA,,Atrial fibrillation resolved,Long-term condition
2241.,,ARRHYTHMIA,,O/E - collapse -cardiac arrest,Long-term condition
2JS..,,ARRHYTHMIA,,Patient with internal cardiac defibrillator pacemaker,Long-term condition
32130,,ARRHYTHMIA,,Negative exercise ECG test,Long-term condition
32131,,ARRHYTHMIA,,Exercise ECG abnormal,Long-term condition
32141,,ARRHYTHMIA,,Ambulatory ECG abnormal,Long-term condition
3217.,,ARRHYTHMIA,,ECG abnormal,Long-term condition
3218.,,ARRHYTHMIA,,ECG - improved,Long-term condition
3219.,,ARRHYTHMIA,,ECG equivocal,Long-term condition
321C.,,ARRHYTHMIA,,ECG sinus rhythm,Long-term condition
321C0,,ARRHYTHMIA,,,Long-term condition
321C1,,ARRHYTHMIA,,,Long-term condition
322..,,ARRHYTHMIA,,ECG: myocardial ischaemia,Long-term condition
3222.,,ARRHYTHMIA,,ECG:shows myocardial ischaemia,Long-term condition
322Z.,,ARRHYTHMIA,,ECG: myocardial ischaemia NOS,Long-term condition
323..,,ARRHYTHMIA,,ECG: myocardial infarction,Long-term condition
3232.,,ARRHYTHMIA,,ECG: old myocardial infarction,Long-term condition
3233.,,ARRHYTHMIA,,ECG: antero-septal infarct.,Long-term condition
3234.,,ARRHYTHMIA,,ECG:posterior/inferior infarct,Long-term condition
3235.,,ARRHYTHMIA,,ECG: subendocardial infarct,Long-term condition
3236.,,ARRHYTHMIA,,ECG: lateral infarction,Long-term condition
323Z.,,ARRHYTHMIA,,ECG: myocardial infarct NOS,Long-term condition
324..,,ARRHYTHMIA,,ECG:left ventricle hypertrophy,Long-term condition
3242.,,ARRHYTHMIA,,ECG: shows LVH,Long-term condition
324Z.,,ARRHYTHMIA,,ECG: LVH NOS,Long-term condition
325..,,ARRHYTHMIA,,ECG:right ventricle hypertrop.,Long-term condition
3252.,,ARRHYTHMIA,,ECG: shows RVH,Long-term condition
325Z.,,ARRHYTHMIA,,ECG: RVH NOS,Long-term condition
326..,,ARRHYTHMIA,,ECG: ectopic beats,Long-term condition
3262.,,ARRHYTHMIA,,ECG: extrasystole,Long-term condition
3263.,,ARRHYTHMIA,,ECG: ventricular ectopics,Long-term condition
3264.,,ARRHYTHMIA,,ECG: atrial ectopics,Long-term condition
326Z.,,ARRHYTHMIA,,ECG: ectopic beats NOS,Long-term condition
327..,,ARRHYTHMIA,,ECG: supraventricular arrhythmia,Long-term condition
3272.,,ARRHYTHMIA,,,Long-term condition
3273.,,ARRHYTHMIA,,ECG: atrial flutter,Long-term condition
3274.,,ARRHYTHMIA,,ECG: paroxysmal atrial tachy.,Long-term condition
327Z.,,ARRHYTHMIA,,ECG: supraventric. arryth. NOS,Long-term condition
