code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
13Y4.,,ASTHMA,,Asthma society member,Long-term condition
14B4.,,ASTHMA,,H/O: asthma,Long-term condition
14Ok0,,ASTHMA,,At risk of severe asthma exacerbation,Long-term condition
173A.,,ASTHMA,,,Long-term condition
173c.,,ASTHMA,,,Long-term condition
173d.,,ASTHMA,,,Long-term condition
178..,,ASTHMA,,Asthma trigger,Long-term condition
1780.,,ASTHMA,,,Long-term condition
1781.,,ASTHMA,,Asthma trigger - pollen,Long-term condition
1782.,,ASTHMA,,Asthma trigger - tobacco smoke,Long-term condition
1783.,,ASTHMA,,Asthma trigger - warm air,Long-term condition
1784.,,ASTHMA,,Asthma trigger - emotion,Long-term condition
1785.,,ASTHMA,,Asthma trigger - damp,Long-term condition
1786.,,ASTHMA,,Asthma trigger - animals,Long-term condition
1787.,,ASTHMA,,Asthma trigger - seasonal,Long-term condition
1788.,,ASTHMA,,Asthma trigger - cold air,Long-term condition
1789.,,ASTHMA,,Asthma trigger - respiratory infection,Long-term condition
178A.,,ASTHMA,,Asthma trigger - airborne dust,Long-term condition
178B.,,ASTHMA,,Asthma trigger - exercise,Long-term condition
1J70.,,ASTHMA,,Suspected asthma,Long-term condition
1O2..,,ASTHMA,,,Long-term condition
21262,,ASTHMA,,Asthma resolved,Long-term condition
212G.,,ASTHMA,,Asthma resolved,Long-term condition
388t0,,ASTHMA,,Royal College Physician asthma assessment 3 question score,Long-term condition
38B8.,,ASTHMA,,Severe asthma exacerbation risk assessment,Long-term condition
38DL.,,ASTHMA,,Asthma control test,Long-term condition
38DT.,,ASTHMA,,Asthma control questionnaire,Long-term condition
38DV.,,ASTHMA,,Mini asthma quality of life questionnaire,Long-term condition
38QM.,,ASTHMA,,Childhood Asthma Control Test,Long-term condition
661M1,,ASTHMA,,Asthma self-management plan agreed,Long-term condition
661N1,,ASTHMA,,Asthma self-management plan review,Long-term condition
663..,,ASTHMA,,Asthma monitoring,Long-term condition
6636.,,ASTHMA,,Inhaler technique shown,Long-term condition
663I.,,ASTHMA,,Inhaler technique - poor,Long-term condition
663N.,,ASTHMA,,,Long-term condition
663N0,,ASTHMA,,,Long-term condition
663N1,,ASTHMA,,,Long-term condition
663N2,,ASTHMA,,,Long-term condition
663O.,,ASTHMA,,,Long-term condition
663O0,,ASTHMA,,,Long-term condition
663P.,,ASTHMA,,,Long-term condition
663P0,,ASTHMA,,Asthma limits activities 1 to 2 times per month,Long-term condition
663P1,,ASTHMA,,Asthma limits activities 1 to 2 times per week,Long-term condition
663P2,,ASTHMA,,Asthma limits activities most days,Long-term condition
663Q.,,ASTHMA,,,Long-term condition
663U.,,ASTHMA,,,Long-term condition
663V.,,ASTHMA,,,Long-term condition
663V0,,ASTHMA,,,Long-term condition
663V1,,ASTHMA,,,Long-term condition
663V2,,ASTHMA,,,Long-term condition
663V3,,ASTHMA,,,Long-term condition
663W.,,ASTHMA,,,Long-term condition
663d.,,ASTHMA,,,Long-term condition
663e.,,ASTHMA,,,Long-term condition
663e0,,ASTHMA,,,Long-term condition
663e1,,ASTHMA,,,Long-term condition
663f.,,ASTHMA,,,Long-term condition
663h.,,ASTHMA,,,Long-term condition
663j.,,ASTHMA,,,Long-term condition
663m.,,ASTHMA,,,Long-term condition
663n.,,ASTHMA,,,Long-term condition
663p.,,ASTHMA,,,Long-term condition
663q.,,ASTHMA,,,Long-term condition
663r.,,ASTHMA,,,Long-term condition
663s.,,ASTHMA,,,Long-term condition
663t.,,ASTHMA,,,Long-term condition
