code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
146D.,,BIPOLAR_DISORDER,,H/O: manic depressive disorder,Long-term condition
212T.,,BIPOLAR_DISORDER,,"Psychosis, schizophrenia + bipolar affective disord resolved",Long-term condition
212V.,,BIPOLAR_DISORDER,,Bipolar affective disorder resolved,Long-term condition
E11..,,BIPOLAR_DISORDER,,Bipolar psychoses,Long-term condition
E110.,,BIPOLAR_DISORDER,,"Manic disorder, single episode",Long-term condition
E1100,,BIPOLAR_DISORDER,,"Single manic episode, unspecified",Long-term condition
E1101,,BIPOLAR_DISORDER,,"Single manic episode, mild",Long-term condition
E1102,,BIPOLAR_DISORDER,,"Single manic episode, moderate",Long-term condition
E1103,,BIPOLAR_DISORDER,,"Single manic episode, severe without mention of psychosis",Long-term condition
E1104,,BIPOLAR_DISORDER,,"Single manic episode, severe, with psychosis",Long-term condition
E1105,,BIPOLAR_DISORDER,,Single manic episode in partial or unspecified remission,Long-term condition
E1106,,BIPOLAR_DISORDER,,Single manic episode in full remission,Long-term condition
E110z,,BIPOLAR_DISORDER,,"Manic disorder, single episode NOS",Long-term condition
E111.,,BIPOLAR_DISORDER,,Recurrent manic episodes,Long-term condition
E1110,,BIPOLAR_DISORDER,,"Recurrent manic episodes, unspecified",Long-term condition
E1111,,BIPOLAR_DISORDER,,"Recurrent manic episodes, mild",Long-term condition
E1112,,BIPOLAR_DISORDER,,"Recurrent manic episodes, moderate",Long-term condition
E1113,,BIPOLAR_DISORDER,,"Recurrent manic episodes, severe without mention psychosis",Long-term condition
E1114,,BIPOLAR_DISORDER,,"Recurrent manic episodes, severe, with psychosis",Long-term condition
E1115,,BIPOLAR_DISORDER,,"Recurrent manic episodes, partial or unspecified remission",Long-term condition
E1116,,BIPOLAR_DISORDER,,"Recurrent manic episodes, in full remission",Long-term condition
E111z,,BIPOLAR_DISORDER,,Recurrent manic episode NOS,Long-term condition
E114.,,BIPOLAR_DISORDER,,"Bipolar affective disorder, currently manic",Long-term condition
E1140,,BIPOLAR_DISORDER,,"Bipolar affective disorder, currently manic, unspecified",Long-term condition
E1141,,BIPOLAR_DISORDER,,"Bipolar affective disorder, currently manic, mild",Long-term condition
E1142,,BIPOLAR_DISORDER,,"Bipolar affective disorder, currently manic, moderate",Long-term condition
E1143,,BIPOLAR_DISORDER,,"Bipolar affect disord, currently manic, severe, no psychosis",Long-term condition
E1144,,BIPOLAR_DISORDER,,"Bipolar affect disord, currently manic,severe with psychosis",Long-term condition
E1145,,BIPOLAR_DISORDER,,"Bipolar affect disord,currently manic, part/unspec remission",Long-term condition
E1146,,BIPOLAR_DISORDER,,"Bipolar affective disorder, currently manic, full remission",Long-term condition
E114z,,BIPOLAR_DISORDER,,"Bipolar affective disorder, currently manic, NOS",Long-term condition
E115.,,BIPOLAR_DISORDER,,"Bipolar affective disorder, currently depressed",Long-term condition
E1150,,BIPOLAR_DISORDER,,"Bipolar affective disorder, currently depressed, unspecified",Long-term condition
E1151,,BIPOLAR_DISORDER,,"Bipolar affective disorder, currently depressed, mild",Long-term condition
E1152,,BIPOLAR_DISORDER,,"Bipolar affective disorder, currently depressed, moderate",Long-term condition
E1153,,BIPOLAR_DISORDER,,"Bipolar affect disord, now depressed, severe, no psychosis",Long-term condition
E1154,,BIPOLAR_DISORDER,,"Bipolar affect disord, now depressed, severe with psychosis",Long-term condition
E1155,,BIPOLAR_DISORDER,,"Bipolar affect disord, now depressed, part/unspec remission",Long-term condition
E1156,,BIPOLAR_DISORDER,,"Bipolar affective disorder, now depressed, in full remission",Long-term condition
E115z,,BIPOLAR_DISORDER,,"Bipolar affective disorder, currently depressed, NOS",Long-term condition
E116.,,BIPOLAR_DISORDER,,Mixed bipolar affective disorder,Long-term condition
E1160,,BIPOLAR_DISORDER,,"Mixed bipolar affective disorder, unspecified",Long-term condition
E1161,,BIPOLAR_DISORDER,,"Mixed bipolar affective disorder, mild",Long-term condition
E1162,,BIPOLAR_DISORDER,,"Mixed bipolar affective disorder, moderate",Long-term condition
E1163,,BIPOLAR_DISORDER,,"Mixed bipolar affective disorder, severe, without psychosis",Long-term condition
E1164,,BIPOLAR_DISORDER,,"Mixed bipolar affective disorder, severe, with psychosis",Long-term condition
E1165,,BIPOLAR_DISORDER,,"Mixed bipolar affective disorder, partial/unspec remission",Long-term condition
E1166,,BIPOLAR_DISORDER,,"Mixed bipolar affective disorder, in full remission",Long-term condition
E116z,,BIPOLAR_DISORDER,,"Mixed bipolar affective disorder, NOS",Long-term condition
E117.,,BIPOLAR_DISORDER,,Unspecified bipolar affective disorder,Long-term condition
E1170,,BIPOLAR_DISORDER,,"Unspecified bipolar affective disorder, unspecified",Long-term condition
E1171,,BIPOLAR_DISORDER,,"Unspecified bipolar affective disorder, mild",Long-term condition
E1172,,BIPOLAR_DISORDER,,"Unspecified bipolar affective disorder, moderate",Long-term condition
E1173,,BIPOLAR_DISORDER,,"Unspecified bipolar affective disorder, severe, no psychosis",Long-term condition
E1174,,BIPOLAR_DISORDER,,"Unspecified bipolar affective disorder,severe with psychosis",Long-term condition
E1175,,BIPOLAR_DISORDER,,"Unspecified bipolar affect disord, partial/unspec remission",Long-term condition
E1176,,BIPOLAR_DISORDER,,"Unspecified bipolar affective disorder, in full remission",Long-term condition
E117z,,BIPOLAR_DISORDER,,"Unspecified bipolar affective disorder, NOS",Long-term condition
E11y.,,BIPOLAR_DISORDER,,Other and unspecified manic-depressive psychoses,Long-term condition
E11y0,,BIPOLAR_DISORDER,,Unspecified manic-depressive psychoses,Long-term condition
E11y3,,BIPOLAR_DISORDER,,Other mixed manic-depressive psychoses,Long-term condition
