code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
13o8J,,BLINDNESS_AND_LOW_VISION,,Uses deafblind intervener,Long-term condition
13o8N,,BLINDNESS_AND_LOW_VISION,,Uses Deafblind Manual Alphabet,Long-term condition
1B75.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
1B77.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
1a000,,BLINDNESS_AND_LOW_VISION,,Uses guide dog for the blind,Long-term condition
2B6B.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
2B6S.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
2B7B.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
2B7S.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
2BBr.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
6688.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
6689.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
668B.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
668C.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
668D.,,BLINDNESS_AND_LOW_VISION,,Registered sight impaired,Long-term condition
8F6..,,BLINDNESS_AND_LOW_VISION,,Blind rehabilitation,Long-term condition
8F61.,,BLINDNESS_AND_LOW_VISION,,Blind rehabilitation,Long-term condition
8F62.,,BLINDNESS_AND_LOW_VISION,,Blind lead dog rehabilitation,Long-term condition
9NfB.,,BLINDNESS_AND_LOW_VISION,,Requires deafblind communicator guide,Long-term condition
9Nfa.,,BLINDNESS_AND_LOW_VISION,,Requires deafblind manual alphabet interpreter,Long-term condition
9Nfb.,,BLINDNESS_AND_LOW_VISION,,Requires deafblind block alphabet interpreter,Long-term condition
9Nfc.,,BLINDNESS_AND_LOW_VISION,,Requires deafblind haptic communication interpreter,Long-term condition
9m08.,,BLINDNESS_AND_LOW_VISION,,Excluded from diabetic retinopathy screening as blind,Long-term condition
C245.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
E2011,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4041,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4042,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4653,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4811,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4814,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F486.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4860,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4862,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4863,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4864,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F486z,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F49..,,BLINDNESS_AND_LOW_VISION,,Blindness and low vision,Long-term condition
F490.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4900,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4901,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4902,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4903,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4904,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4905,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4906,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4907,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4908,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4909,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F490z,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F491.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4910,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4911,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4912,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4913,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4914,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4915,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4916,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4917,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4918,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F491z,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F492.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4920,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4921,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4922,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4923,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4924,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4925,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F492z,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F493.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F494.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F495.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4950,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4951,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4952,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4953,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4954,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4955,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4956,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4957,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4958,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F4959,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F495A,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F495z,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
F496.,,BLINDNESS_AND_LOW_VISION,,,Long-term condition
