code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
F03y.,,CHRONIC_FATIGUE_SYNDROME,,Myalgic encephalomyelitis,Long-term condition
F286.,,CHRONIC_FATIGUE_SYNDROME,,Myalgic encephalomyelitis,Long-term condition
F2860,,CHRONIC_FATIGUE_SYNDROME,,Mild chronic fatigue syndrome,Long-term condition
F2861,,CHRONIC_FATIGUE_SYNDROME,,Moderate chronic fatigue syndrome,Long-term condition
F2862,,CHRONIC_FATIGUE_SYNDROME,,Severe chronic fatigue syndrome,Long-term condition
G8522,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J601.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6010,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6011,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6012,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J601z,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J60z.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J61..,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J614.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6140,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6141,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6142,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6143,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6144,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J614y,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J614z,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J615.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6150,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6151,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6152,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6153,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6154,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6155,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6156,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6157,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6158,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6159,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J615A,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J615B,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J615C,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J615D,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J615E,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J615F,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J615G,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J615H,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J615y,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J615z,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J616.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6160,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6161,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6162,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J616z,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J617.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J6170,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J61y.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J61y0,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J61y1,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J61y2,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J61y3,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J61y4,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J61y5,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J61y6,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J61y7,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J61y8,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J61yz,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J61z.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J623.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J624.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J62y.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J62z.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
J630.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
Jyu71,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
PB62.,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
PB620,,CHRONIC_FATIGUE_SYNDROME,,,Long-term condition
