code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
H13..,,CHRONIC_SINUSITIS,,,Long-term condition
H130.,,CHRONIC_SINUSITIS,,,Long-term condition
H131.,,CHRONIC_SINUSITIS,,,Long-term condition
H132.,,CHRONIC_SINUSITIS,,,Long-term condition
H133.,,CHRONIC_SINUSITIS,,,Long-term condition
H134.,,CHRONIC_SINUSITIS,,,Long-term condition
H135.,,CHRONIC_SINUSITIS,,,Long-term condition
H13y.,,CHRONIC_SINUSITIS,,,Long-term condition
H13y0,,CHRONIC_SINUSITIS,,,Long-term condition
H13y1,,CHRONIC_SINUSITIS,,,Long-term condition
H13yz,,CHRONIC_SINUSITIS,,,Long-term condition
H13z.,,CHRONIC_SINUSITIS,,,Long-term condition
Hyu22,,CHRONIC_SINUSITIS,,,Long-term condition
J0835,,CHRONIC_SINUSITIS,,,Long-term condition
