code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
12J3.,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,FH: Congenital heart disease,Long-term condition
14AV.,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,History of ventricular septal defect,Long-term condition
21268,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Ostium secundum atrial septal defect resolved,Long-term condition
66g..,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Congenital heart condition monitoring,Long-term condition
7903y,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Atrial inversion op for transposition of great vessels OS,Long-term condition
79063,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Closure of persistent ostium primum,Long-term condition
790A1,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Make heart septal defect,Long-term condition
790N4,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Relief of left ventricular outflow tract obstruction,Long-term condition
9RD0.,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Transfer of care from paediatric congenital heart service,Long-term condition
G5y9.,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,"Cardiac septal defect, acquired",Long-term condition
L185.,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Congenital heart disease in pregnancy,Long-term condition
L1850,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Congenital cardiovasc dis - unsp whether in preg/puerperium,Long-term condition
L1851,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Congenital cardiovasc dis in pregnancy - baby delivered,Long-term condition
L1852,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Congenital cardiovasc dis in puerp - baby delivered,Long-term condition
L1853,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Congenital cardiovasc dis in pregnancy - baby not delivered,Long-term condition
L1854,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Congenital cardiovasc dis in puerp - baby previously deliv,Long-term condition
L185z,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Congenital cardiovascular disorder in preg/childb/puerp NOS,Long-term condition
P5...,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Heart septal defects,Long-term condition
P50..,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Common aorto-pulmonary trunk,Long-term condition
P500.,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Truncus arteriosus,Long-term condition
P501.,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Aortic septal defect,Long-term condition
P502.,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Truncus arteriosus,Long-term condition
P50z.,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Common aorto-pulmonary trunk NOS,Long-term condition
P51..,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Transposition of great vessels,Long-term condition
P510.,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Total great vessel transposition,Long-term condition
P511.,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Double outlet right ventricle,Long-term condition
P5110,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,"Double outlet right ventricle, unspecified",Long-term condition
P5111,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Dextratransposition of aorta,Long-term condition
P5112,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Incomplete great vessel transposition,Long-term condition
P5113,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Taussig-Bing syndrome,Long-term condition
P511z,,CONGENITAL_DIS_CHROMOSOMAL_ABNORMALITIES,,Double outlet right ventricle NOS,Long-term condition
