code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
14A..,,CORONARY_HEART_DISEASE,,H/O: cardiovascular disease,Long-term condition
14A5.,,CORONARY_HEART_DISEASE,,H/O: angina pectoris,Long-term condition
14AA.,,CORONARY_HEART_DISEASE,,H/O: heart disease NOS,Long-term condition
14AJ.,,CORONARY_HEART_DISEASE,,H/O: Angina in last year,Long-term condition
14AL.,,CORONARY_HEART_DISEASE,,,Long-term condition
14AW.,,CORONARY_HEART_DISEASE,,H/O acute coronary syndrome,Long-term condition
14Oh0,,CORONARY_HEART_DISEASE,,High risk of cardiovascular disease,Long-term condition
187..,,CORONARY_HEART_DISEASE,,Frequency of angina,Long-term condition
1J61.,,CORONARY_HEART_DISEASE,,Suspected ischaemic heart disease,Long-term condition
33B95,,CORONARY_HEART_DISEASE,,Exercise tolerance test abnormal,Long-term condition
3889.,,CORONARY_HEART_DISEASE,,Euroscore for angina,Long-term condition
388E.,,CORONARY_HEART_DISEASE,,Canadian Cardiovascular Society classification of angina,Long-term condition
44H3.,,CORONARY_HEART_DISEASE,,Cardiac enzymes abnormal,Long-term condition
44H30,,CORONARY_HEART_DISEASE,,Cardiac enzymes abnormal - first set,Long-term condition
5533.,,CORONARY_HEART_DISEASE,,Angiocardiography abnormal,Long-term condition
5543.,,CORONARY_HEART_DISEASE,,Coronary arteriograph.abnormal,Long-term condition
5C11.,,CORONARY_HEART_DISEASE,,Radionuclide heart study abnormal,Long-term condition
661M0,,CORONARY_HEART_DISEASE,,Angina self-management plan agreed,Long-term condition
661N0,,CORONARY_HEART_DISEASE,,Angina self-management plan review,Long-term condition
662K.,,CORONARY_HEART_DISEASE,,Angina control,Long-term condition
662K0,,CORONARY_HEART_DISEASE,,Angina control - good,Long-term condition
662K1,,CORONARY_HEART_DISEASE,,Angina control - poor,Long-term condition
662K2,,CORONARY_HEART_DISEASE,,Angina control - improving,Long-term condition
662K3,,CORONARY_HEART_DISEASE,,Angina control - worsening,Long-term condition
662K4,,CORONARY_HEART_DISEASE,,Angina self management plan commenced,Long-term condition
662K5,,CORONARY_HEART_DISEASE,,Angina self management plan completed,Long-term condition
662Kz,,CORONARY_HEART_DISEASE,,Angina control NOS,Long-term condition
68B2.,,CORONARY_HEART_DISEASE,,Ischaemic heart disease screen,Long-term condition
6A2..,,CORONARY_HEART_DISEASE,,Coronary heart disease annual review,Long-term condition
6A4..,,CORONARY_HEART_DISEASE,,Coronary heart disease review,Long-term condition
8B27.,,CORONARY_HEART_DISEASE,,Antianginal therapy,Long-term condition
8B3k.,,CORONARY_HEART_DISEASE,,Coronary heart disease medication review,Long-term condition
8B63.,,CORONARY_HEART_DISEASE,,Aspirin prophylaxis - IHD,Long-term condition
8F9..,,CORONARY_HEART_DISEASE,,Cardiac rehabilitation,Long-term condition
8F90.,,CORONARY_HEART_DISEASE,,Cardiac rehabilitation - phase 1,Long-term condition
8F91.,,CORONARY_HEART_DISEASE,,Cardiac rehabilitation - phase 2,Long-term condition
8F92.,,CORONARY_HEART_DISEASE,,Cardiac rehabilitation - phase 3,Long-term condition
8F93.,,CORONARY_HEART_DISEASE,,Cardiac rehabilitation - phase 4,Long-term condition
8F97.,,CORONARY_HEART_DISEASE,,Cardiac rehabilitation programme completed,Long-term condition
8F98.,,CORONARY_HEART_DISEASE,,Cardiac rehabilitation programme offered,Long-term condition
8F99.,,CORONARY_HEART_DISEASE,,Cardiac rehabilitation initial assessment offered,Long-term condition
8H11.,,CORONARY_HEART_DISEASE,,Admit to cardiac ITU,Long-term condition
8H2Q.,,CORONARY_HEART_DISEASE,,Admit cardiology emergency,Long-term condition
8H2V.,,CORONARY_HEART_DISEASE,,Admit ischaemic heart disease emergency,Long-term condition
8H440,,CORONARY_HEART_DISEASE,,Referral to cardiology multidisciplinary team,Long-term condition
8H7v.,,CORONARY_HEART_DISEASE,,Referral to cardiac rehabilitation nurse,Long-term condition
8Hkk.,,CORONARY_HEART_DISEASE,,Referral to cardiac rehabilitation programme,Long-term condition
8Hkl.,,CORONARY_HEART_DISEASE,,Referral to cardiac rehabilitation service by secondary care,Long-term condition
