code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
1461.,,DEMENTIA_ALZHEIMER,,H/O: dementia,Long-term condition
66h..,,DEMENTIA_ALZHEIMER,,,Long-term condition
6AB..,,DEMENTIA_ALZHEIMER,,,Long-term condition
8BM02,,DEMENTIA_ALZHEIMER,,Dementia medication review,Long-term condition
8BPa.,,DEMENTIA_ALZHEIMER,,Antipsychotic drug therapy for dementia,Long-term condition
8CMG2,,DEMENTIA_ALZHEIMER,,Review of dementia advance care plan,Long-term condition
8CMZ.,,DEMENTIA_ALZHEIMER,,Dementia care plan,Long-term condition
8CMZ0,,DEMENTIA_ALZHEIMER,,Dementia care plan agreed,Long-term condition
8CMZ1,,DEMENTIA_ALZHEIMER,,Dementia care plan reviewed,Long-term condition
8CMZ2,,DEMENTIA_ALZHEIMER,,Dementia care plan declined,Long-term condition
8CMZ3,,DEMENTIA_ALZHEIMER,,Dementia care plan review declined,Long-term condition
8CMe0,,DEMENTIA_ALZHEIMER,,Dementia advance care plan,Long-term condition
8CSA.,,DEMENTIA_ALZHEIMER,,Dementia advance care plan agreed,Long-term condition
8IAe0,,DEMENTIA_ALZHEIMER,,Dementia advance care plan declined,Long-term condition
8IAe2,,DEMENTIA_ALZHEIMER,,Dementia advance care plan review declined,Long-term condition
9Ou..,,DEMENTIA_ALZHEIMER,,Dementia monitoring administration,Long-term condition
9Ou1.,,DEMENTIA_ALZHEIMER,,Dementia monitoring first letter,Long-term condition
9Ou2.,,DEMENTIA_ALZHEIMER,,Dementia monitoring second letter,Long-term condition
9Ou3.,,DEMENTIA_ALZHEIMER,,Dementia monitoring third letter,Long-term condition
9Ou4.,,DEMENTIA_ALZHEIMER,,Dementia monitoring verbal invite,Long-term condition
9Ou5.,,DEMENTIA_ALZHEIMER,,Dementia monitoring telephone invite,Long-term condition
9hD..,,DEMENTIA_ALZHEIMER,,Exception reporting: dementia quality indicators,Long-term condition
9hD0.,,DEMENTIA_ALZHEIMER,,Excepted from dementia quality indicators: Patient unsuitabl,Long-term condition
