code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
12K8.,,DEPRESSION,,Maternal postnatal depression,Long-term condition
1465.,,DEPRESSION,,H/O: depression,Long-term condition
1B17.,,DEPRESSION,,,Long-term condition
1B1U.,,DEPRESSION,,,Long-term condition
1BT..,,DEPRESSION,,,Long-term condition
212S.,,DEPRESSION,,Depression resolved,Long-term condition
2257.,,DEPRESSION,,,Long-term condition
62T1.,,DEPRESSION,,,Long-term condition
66590,,DEPRESSION,,,Long-term condition
6G00.,,DEPRESSION,,,Long-term condition
8BK0.,,DEPRESSION,,Depression management programme,Long-term condition
8CAa.,,DEPRESSION,,,Long-term condition
8HHq.,,DEPRESSION,,,Long-term condition
8HHq0,,DEPRESSION,,Referral for depression self-help video,Long-term condition
8IH52,,DEPRESSION,,Referral for guided self-help for depression declined,Long-term condition
9H90.,,DEPRESSION,,,Long-term condition
9H91.,,DEPRESSION,,,Long-term condition
9H92.,,DEPRESSION,,,Long-term condition
9HA0.,,DEPRESSION,,,Long-term condition
9Ov..,,DEPRESSION,,Depression monitoring administration,Long-term condition
9Ov0.,,DEPRESSION,,Depression monitoring first letter,Long-term condition
9Ov1.,,DEPRESSION,,Depression monitoring second letter,Long-term condition
9Ov2.,,DEPRESSION,,Depression monitoring third letter,Long-term condition
9Ov3.,,DEPRESSION,,Depression monitoring verbal invite,Long-term condition
9Ov4.,,DEPRESSION,,Depression monitoring telephone invite,Long-term condition
9k4..,,DEPRESSION,,Depression - enhanced services administration,Long-term condition
9k40.,,DEPRESSION,,Depression - enhanced service completed,Long-term condition
9kQ..,,DEPRESSION,,On full dose long term treatment depression - enh serv admin,Long-term condition
E0013,,DEPRESSION,,,Long-term condition
E002.,,DEPRESSION,,,Long-term condition
E0021,,DEPRESSION,,,Long-term condition
E002z,,DEPRESSION,,,Long-term condition
E0043,,DEPRESSION,,,Long-term condition
E02y3,,DEPRESSION,,,Long-term condition
E11..,,DEPRESSION,,Depressive psychoses,Long-term condition
E112.,,DEPRESSION,,,Long-term condition
E1120,,DEPRESSION,,,Long-term condition
E1121,,DEPRESSION,,,Long-term condition
E1122,,DEPRESSION,,,Long-term condition
E1123,,DEPRESSION,,,Long-term condition
E1124,,DEPRESSION,,,Long-term condition
E1125,,DEPRESSION,,,Long-term condition
E1126,,DEPRESSION,,,Long-term condition
E112z,,DEPRESSION,,,Long-term condition
E113.,,DEPRESSION,,,Long-term condition
E1130,,DEPRESSION,,,Long-term condition
E1131,,DEPRESSION,,,Long-term condition
E1132,,DEPRESSION,,,Long-term condition
E1133,,DEPRESSION,,,Long-term condition
E1134,,DEPRESSION,,,Long-term condition
E1135,,DEPRESSION,,,Long-term condition
E1136,,DEPRESSION,,,Long-term condition
E1137,,DEPRESSION,,,Long-term condition
E113z,,DEPRESSION,,,Long-term condition
E118.,,DEPRESSION,,,Long-term condition
E11y2,,DEPRESSION,,,Long-term condition
E11z2,,DEPRESSION,,,Long-term condition
E130.,,DEPRESSION,,,Long-term condition
E135.,,DEPRESSION,,,Long-term condition
E2003,,DEPRESSION,,,Long-term condition
E204.,,DEPRESSION,,,Long-term condition
E290.,,DEPRESSION,,,Long-term condition
E290z,,DEPRESSION,,,Long-term condition
E291.,,DEPRESSION,,,Long-term condition
E2B..,,DEPRESSION,,,Long-term condition
E2B0.,,DEPRESSION,,,Long-term condition
E2B1.,,DEPRESSION,,,Long-term condition
Eu204,,DEPRESSION,,,Long-term condition
Eu251,,DEPRESSION,,,Long-term condition
Eu32.,,DEPRESSION,,,Long-term condition
Eu320,,DEPRESSION,,,Long-term condition
Eu321,,DEPRESSION,,,Long-term condition
Eu322,,DEPRESSION,,,Long-term condition
Eu323,,DEPRESSION,,,Long-term condition
Eu324,,DEPRESSION,,,Long-term condition
Eu325,,DEPRESSION,,,Long-term condition
Eu326,,DEPRESSION,,,Long-term condition
Eu327,,DEPRESSION,,,Long-term condition
Eu328,,DEPRESSION,,,Long-term condition
Eu329,,DEPRESSION,,,Long-term condition
Eu32A,,DEPRESSION,,,Long-term condition
Eu32B,,DEPRESSION,,[X]Antenatal depression,Long-term condition
Eu32y,,DEPRESSION,,,Long-term condition
Eu32z,,DEPRESSION,,,Long-term condition
Eu33.,,DEPRESSION,,,Long-term condition
Eu330,,DEPRESSION,,,Long-term condition
Eu331,,DEPRESSION,,,Long-term condition
Eu332,,DEPRESSION,,,Long-term condition
Eu333,,DEPRESSION,,,Long-term condition
Eu334,,DEPRESSION,,,Long-term condition
Eu33y,,DEPRESSION,,,Long-term condition
Eu33z,,DEPRESSION,,,Long-term condition
Eu341,,DEPRESSION,,,Long-term condition
Eu3y1,,DEPRESSION,,[X]Recurrent brief depressive episodes,Long-term condition
Eu412,,DEPRESSION,,,Long-term condition
Eu530,,DEPRESSION,,[X]Postpartum depression NOS,Long-term condition
Eu920,,DEPRESSION,,,Long-term condition
R007z,,DEPRESSION,,[D]Postoperative depression,Long-term condition
