code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
14V2.,,DIALYSIS,,H/O: renal dialysis,Long-term condition
4I29.,,DIALYSIS,,Peritoneal dialysis sample,Long-term condition
4N...,,DIALYSIS,,Dialysis fluid examination,Long-term condition
4N0..,,DIALYSIS,,Dialysis fluid urea level,Long-term condition
4N1..,,DIALYSIS,,Dialysis fluid creatinine level,Long-term condition
4N2..,,DIALYSIS,,Dialysis fluid glucose level,Long-term condition
4N3..,,DIALYSIS,,Peritoneal dialysis fluid cell count,Long-term condition
4N4..,,DIALYSIS,,Dialysis fluid potassium level,Long-term condition
4N5..,,DIALYSIS,,Dialysis fluid sodium level,Long-term condition
7A606,,DIALYSIS,,Creation of graft fistula for dialysis,Long-term condition
7A619,,DIALYSIS,,Ligation of arteriovenous dialysis fistula,Long-term condition
7A61A,,DIALYSIS,,Ligation of arteriovenous dialysis graft,Long-term condition
7L1A.,,DIALYSIS,,Dialysis for renal failure,Long-term condition
7L1A0,,DIALYSIS,,Renal dialysis,Long-term condition
7L1A1,,DIALYSIS,,Peritoneal dialysis,Long-term condition
7L1A2,,DIALYSIS,,Haemodialysis NEC,Long-term condition
7L1A3,,DIALYSIS,,Haemofiltration,Long-term condition
7L1A4,,DIALYSIS,,Automated peritoneal dialysis,Long-term condition
7L1A5,,DIALYSIS,,Continuous ambulatory peritoneal dialysis,Long-term condition
7L1A6,,DIALYSIS,,Peritoneal dialysis NEC,Long-term condition
7L1B.,,DIALYSIS,,Placement ambulatory dialysis apparatus - compens renal fail,Long-term condition
7L1B0,,DIALYSIS,,Insertion of ambulatory peritoneal dialysis catheter,Long-term condition
7L1B1,,DIALYSIS,,Removal of ambulatory peritoneal dialysis catheter,Long-term condition
7L1B2,,DIALYSIS,,Flushing of peritoneal dialysis catheter,Long-term condition
7L1C0,,DIALYSIS,,Insertion of temporary peritoneal dialysis catheter,Long-term condition
7L1f0,,DIALYSIS,,Extracorporeal albumin haemodialysis,Long-term condition
8882.,,DIALYSIS,,Intestinal dialysis,Long-term condition
8DD..,,DIALYSIS,,Dependence on renal dialysis,Long-term condition
G72C.,,DIALYSIS,,Ruptured aneurysm of dialysis vascular access,Long-term condition
G72D.,,DIALYSIS,,Aneurysm of dialysis arteriovenous fistula,Long-term condition
G72D0,,DIALYSIS,,Aneurysm of superficialised artery of dialysis AV fistula,Long-term condition
G72D1,,DIALYSIS,,Aneurysm of needle site of dialysis arteriovenous fistula,Long-term condition
G72D2,,DIALYSIS,,Aneurysm of anastomotic site of dialysis AV fistula,Long-term condition
