code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
76410,,DIVERTICULAR_DISEASE,,Small bowel divertic. excised,Long-term condition
77180,,DIVERTICULAR_DISEASE,,Excision of diverticulum of colon,Long-term condition
J171.,,DIVERTICULAR_DISEASE,,,Long-term condition
J23z3,,DIVERTICULAR_DISEASE,,Appendicular diverticulum,Long-term condition
J51..,,DIVERTICULAR_DISEASE,,,Long-term condition
J510.,,DIVERTICULAR_DISEASE,,Diverticulosis,Long-term condition
J5100,,DIVERTICULAR_DISEASE,,,Long-term condition
J5101,,DIVERTICULAR_DISEASE,,,Long-term condition
J5102,,DIVERTICULAR_DISEASE,,,Long-term condition
J5103,,DIVERTICULAR_DISEASE,,,Long-term condition
J5104,,DIVERTICULAR_DISEASE,,,Long-term condition
J5105,,DIVERTICULAR_DISEASE,,,Long-term condition
J5106,,DIVERTICULAR_DISEASE,,,Long-term condition
J5107,,DIVERTICULAR_DISEASE,,,Long-term condition
J5108,,DIVERTICULAR_DISEASE,,,Long-term condition
J5109,,DIVERTICULAR_DISEASE,,,Long-term condition
J510y,,DIVERTICULAR_DISEASE,,,Long-term condition
J510z,,DIVERTICULAR_DISEASE,,,Long-term condition
J511.,,DIVERTICULAR_DISEASE,,,Long-term condition
J5110,,DIVERTICULAR_DISEASE,,,Long-term condition
J5111,,DIVERTICULAR_DISEASE,,,Long-term condition
J5112,,DIVERTICULAR_DISEASE,,,Long-term condition
J5113,,DIVERTICULAR_DISEASE,,,Long-term condition
J5114,,DIVERTICULAR_DISEASE,,,Long-term condition
J5115,,DIVERTICULAR_DISEASE,,,Long-term condition
J5116,,DIVERTICULAR_DISEASE,,,Long-term condition
J5117,,DIVERTICULAR_DISEASE,,,Long-term condition
J511y,,DIVERTICULAR_DISEASE,,,Long-term condition
J511z,,DIVERTICULAR_DISEASE,,,Long-term condition
J512.,,DIVERTICULAR_DISEASE,,,Long-term condition
J5120,,DIVERTICULAR_DISEASE,,Perforated diverticulum of duodenum,Long-term condition
J5121,,DIVERTICULAR_DISEASE,,,Long-term condition
J5122,,DIVERTICULAR_DISEASE,,,Long-term condition
J5123,,DIVERTICULAR_DISEASE,,,Long-term condition
J5124,,DIVERTICULAR_DISEASE,,,Long-term condition
J5125,,DIVERTICULAR_DISEASE,,,Long-term condition
J5126,,DIVERTICULAR_DISEASE,,,Long-term condition
J5127,,DIVERTICULAR_DISEASE,,,Long-term condition
J5128,,DIVERTICULAR_DISEASE,,,Long-term condition
J512y,,DIVERTICULAR_DISEASE,,,Long-term condition
J512z,,DIVERTICULAR_DISEASE,,,Long-term condition
J513.,,DIVERTICULAR_DISEASE,,,Long-term condition
J51z.,,DIVERTICULAR_DISEASE,,,Long-term condition
