code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
136S.,,DRUG_ALCOHOL_MISUSE,,Hazardous alcohol use,Long-term condition
136T.,,DRUG_ALCOHOL_MISUSE,,Harmful alcohol use,Long-term condition
13Y8.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13ZY.,,DRUG_ALCOHOL_MISUSE,,Disqualified from driving due to excess alcohol,Long-term condition
13c..,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13c0.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13c1.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13c2.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13c3.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13c4.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13c5.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13c6.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13c7.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13c8.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13c9.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13cA.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13cB.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13cC.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13cD.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13cE.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13cF.,,DRUG_ALCOHOL_MISUSE,,Preoccupied with substance misuse,Long-term condition
13cH.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13cJ.,,DRUG_ALCOHOL_MISUSE,,Previously injecting drug user,Long-term condition
13cK.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13cM.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13cM0,,DRUG_ALCOHOL_MISUSE,,Novel psychoactive substance misuse,Long-term condition
13cM1,,DRUG_ALCOHOL_MISUSE,,Opioid analgesic dependence,Long-term condition
13cN.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13cQ.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13cR.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13cS.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13cT.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
13r0.,,DRUG_ALCOHOL_MISUSE,,Abstinent from drug misuse,Long-term condition
13r1.,,DRUG_ALCOHOL_MISUSE,,Abstinent from drug misuse in normal environment,Long-term condition
13r2.,,DRUG_ALCOHOL_MISUSE,,Abstinent from drug misuse in protected environment,Long-term condition
13r3.,,DRUG_ALCOHOL_MISUSE,,Abstinent from drug misuse on maintenance replacement,Long-term condition
13r4.,,DRUG_ALCOHOL_MISUSE,,Abstinent from drug misuse when receiving blocking therapy,Long-term condition
13r5.,,DRUG_ALCOHOL_MISUSE,,Abstinent from substance misuse,Long-term condition
1462.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
1463.,,DRUG_ALCOHOL_MISUSE,,H/O: drug dependency,Long-term condition
146E.,,DRUG_ALCOHOL_MISUSE,,H/O: recreational drug use,Long-term condition
146F.,,DRUG_ALCOHOL_MISUSE,,H/O: drug abuse,Long-term condition
1B1c.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
1P30.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
1P31.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
1P6..,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
1P60.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
1P62.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
1P63.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
1P64.,,DRUG_ALCOHOL_MISUSE,,,Long-term condition
1T...,,DRUG_ALCOHOL_MISUSE,,History of substance misuse,Long-term condition
1T0..,,DRUG_ALCOHOL_MISUSE,,H/O heroin misuse,Long-term condition
1T00.,,DRUG_ALCOHOL_MISUSE,,H/O daily heroin misuse,Long-term condition
1T01.,,DRUG_ALCOHOL_MISUSE,,H/O weekly heroin misuse,Long-term condition
1T02.,,DRUG_ALCOHOL_MISUSE,,Previous history of heroin misuse,Long-term condition
1T03.,,DRUG_ALCOHOL_MISUSE,,H/O infrequent heroin misuse,Long-term condition
1T1..,,DRUG_ALCOHOL_MISUSE,,H/O methadone misuse,Long-term condition
1T10.,,DRUG_ALCOHOL_MISUSE,,H/O daily methadone misuse,Long-term condition
1T11.,,DRUG_ALCOHOL_MISUSE,,H/O weekly methadone misuse,Long-term condition
1T12.,,DRUG_ALCOHOL_MISUSE,,H/O infrequent methadone misuse,Long-term condition
1T13.,,DRUG_ALCOHOL_MISUSE,,Previous history of methadone misuse,Long-term condition
1T2..,,DRUG_ALCOHOL_MISUSE,,H/O ecstasy misuse,Long-term condition
1T20.,,DRUG_ALCOHOL_MISUSE,,H/O daily ecstasy misuse,Long-term condition
1T21.,,DRUG_ALCOHOL_MISUSE,,H/O weekly ecstasy misuse,Long-term condition
1T22.,,DRUG_ALCOHOL_MISUSE,,H/O infrequent ecstasy misuse,Long-term condition
1T23.,,DRUG_ALCOHOL_MISUSE,,Previous history of ecstasy misuse,Long-term condition
1T3..,,DRUG_ALCOHOL_MISUSE,,H/O benzodiazepine misuse,Long-term condition
1T30.,,DRUG_ALCOHOL_MISUSE,,H/O daily benzodiazepine misuse,Long-term condition
1T31.,,DRUG_ALCOHOL_MISUSE,,H/O weekly benzodiazepine misuse,Long-term condition
1T32.,,DRUG_ALCOHOL_MISUSE,,H/O infrequent benzodiazepine misuse,Long-term condition
1T33.,,DRUG_ALCOHOL_MISUSE,,Previous history of benzodiazepine misuse,Long-term condition
1T4..,,DRUG_ALCOHOL_MISUSE,,H/O amphetamine misuse,Long-term condition
1T40.,,DRUG_ALCOHOL_MISUSE,,H/O daily amphetamine misuse,Long-term condition
