code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
1473.,,EPILEPSY,,,Long-term condition
14On.,,EPILEPSY,,At risk of sudden unexpected death in epilepsy,Long-term condition
1B1W.,,EPILEPSY,,,Long-term condition
1O30.,,EPILEPSY,,,Long-term condition
2828.,,EPILEPSY,,Absence seizure,Long-term condition
667..,,EPILEPSY,,,Long-term condition
6671.,,EPILEPSY,,,Long-term condition
6672.,,EPILEPSY,,,Long-term condition
6673.,,EPILEPSY,,,Long-term condition
6674.,,EPILEPSY,,,Long-term condition
6675.,,EPILEPSY,,,Long-term condition
6676.,,EPILEPSY,,,Long-term condition
6677.,,EPILEPSY,,,Long-term condition
6678.,,EPILEPSY,,,Long-term condition
6679.,,EPILEPSY,,,Long-term condition
667A.,,EPILEPSY,,Epilepsy treatment stopped,Long-term condition
667B.,,EPILEPSY,,Nocturnal epilepsy,Long-term condition
667C.,,EPILEPSY,,Epilepsy control good,Long-term condition
667D.,,EPILEPSY,,,Long-term condition
667E.,,EPILEPSY,,,Long-term condition
667G.,,EPILEPSY,,,Long-term condition
667H.,,EPILEPSY,,,Long-term condition
667J.,,EPILEPSY,,,Long-term condition
667K.,,EPILEPSY,,,Long-term condition
667L.,,EPILEPSY,,,Long-term condition
667M.,,EPILEPSY,,,Long-term condition
667N.,,EPILEPSY,,,Long-term condition
667Q.,,EPILEPSY,,,Long-term condition
667R.,,EPILEPSY,,,Long-term condition
667S.,,EPILEPSY,,,Long-term condition
667T.,,EPILEPSY,,,Long-term condition
667V.,,EPILEPSY,,,Long-term condition
667W.,,EPILEPSY,,,Long-term condition
667X.,,EPILEPSY,,,Long-term condition
667Z.,,EPILEPSY,,,Long-term condition
8B66.,,EPILEPSY,,,Long-term condition
8BIF.,,EPILEPSY,,,Long-term condition
Eu052,,EPILEPSY,,[X]Schizophrenia-like psychosis in epilepsy,Long-term condition
Eu05y,,EPILEPSY,,[X]Epileptic psychosis NOS,Long-term condition
Eu060,,EPILEPSY,,[X]Limbic epilepsy personality,Long-term condition
Eu803,,EPILEPSY,,,Long-term condition
F1321,,EPILEPSY,,,Long-term condition
F25..,,EPILEPSY,,,Long-term condition
F250.,,EPILEPSY,,,Long-term condition
F2500,,EPILEPSY,,,Long-term condition
F2501,,EPILEPSY,,,Long-term condition
F2502,,EPILEPSY,,,Long-term condition
F2503,,EPILEPSY,,,Long-term condition
F2504,,EPILEPSY,,,Long-term condition
F2505,,EPILEPSY,,,Long-term condition
F250y,,EPILEPSY,,,Long-term condition
F250z,,EPILEPSY,,,Long-term condition
F251.,,EPILEPSY,,,Long-term condition
F2510,,EPILEPSY,,,Long-term condition
F2511,,EPILEPSY,,,Long-term condition
F2512,,EPILEPSY,,,Long-term condition
F2513,,EPILEPSY,,,Long-term condition
F2514,,EPILEPSY,,,Long-term condition
F2515,,EPILEPSY,,,Long-term condition
F2516,,EPILEPSY,,,Long-term condition
F251y,,EPILEPSY,,,Long-term condition
F251z,,EPILEPSY,,,Long-term condition
F252.,,EPILEPSY,,,Long-term condition
F253.,,EPILEPSY,,,Long-term condition
F254.,,EPILEPSY,,,Long-term condition
F2540,,EPILEPSY,,,Long-term condition
F2541,,EPILEPSY,,,Long-term condition
F2542,,EPILEPSY,,,Long-term condition
F2543,,EPILEPSY,,,Long-term condition
F2544,,EPILEPSY,,,Long-term condition
F2545,,EPILEPSY,,,Long-term condition
F254z,,EPILEPSY,,,Long-term condition
F255.,,EPILEPSY,,,Long-term condition
F2550,,EPILEPSY,,,Long-term condition
F2551,,EPILEPSY,,,Long-term condition
F2552,,EPILEPSY,,,Long-term condition
F2553,,EPILEPSY,,,Long-term condition
F2554,,EPILEPSY,,,Long-term condition
F2555,,EPILEPSY,,,Long-term condition
F2556,,EPILEPSY,,,Long-term condition
F255y,,EPILEPSY,,,Long-term condition
F255z,,EPILEPSY,,,Long-term condition
F256.,,EPILEPSY,,,Long-term condition
F2560,,EPILEPSY,,,Long-term condition
F2561,,EPILEPSY,,,Long-term condition
F256z,,EPILEPSY,,,Long-term condition
F257.,,EPILEPSY,,,Long-term condition
F258.,,EPILEPSY,,,Long-term condition
F259.,,EPILEPSY,,,Long-term condition
F25A.,,EPILEPSY,,,Long-term condition
F25B.,,EPILEPSY,,,Long-term condition
F25C.,,EPILEPSY,,,Long-term condition
F25D.,,EPILEPSY,,,Long-term condition
F25E.,,EPILEPSY,,,Long-term condition
F25F.,,EPILEPSY,,,Long-term condition
F25G.,,EPILEPSY,,Dravet syndrome,Long-term condition
F25X.,,EPILEPSY,,,Long-term condition
F25y.,,EPILEPSY,,,Long-term condition
F25y0,,EPILEPSY,,,Long-term condition
F25y1,,EPILEPSY,,,Long-term condition
F25y2,,EPILEPSY,,,Long-term condition
F25y3,,EPILEPSY,,,Long-term condition
F25y4,,EPILEPSY,,,Long-term condition
F25y5,,EPILEPSY,,,Long-term condition
F25yz,,EPILEPSY,,,Long-term condition
F25z.,,EPILEPSY,,,Long-term condition
Fyu50,,EPILEPSY,,,Long-term condition
Fyu51,,EPILEPSY,,,Long-term condition
Fyu52,,EPILEPSY,,,Long-term condition
Fyu59,,EPILEPSY,,,Long-term condition
SC200,,EPILEPSY,,,Long-term condition
