code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
1482.,,GLAUCOMA,,H/O: glaucoma,Long-term condition
66T1.,,GLAUCOMA,,,Long-term condition
7259.,,GLAUCOMA,,Operations following glaucoma surgery,Long-term condition
72590,,GLAUCOMA,,Needling of bleb following glaucoma surgery,Long-term condition
72591,,GLAUCOMA,,Injection of bleb following glaucoma surgery,Long-term condition
72592,,GLAUCOMA,,Revision of bleb NEC following glaucoma surgery,Long-term condition
72593,,GLAUCOMA,,Removal of releasable suture following glaucoma surgery,Long-term condition
72594,,GLAUCOMA,,Laser suture lysis following glaucoma surgery,Long-term condition
7259y,,GLAUCOMA,,Other specified operations following glaucoma surgery,Long-term condition
7259z,,GLAUCOMA,,Operations following glaucoma surgery NOS,Long-term condition
7275.,,GLAUCOMA,,,Long-term condition
F4042,,GLAUCOMA,,Glaucoma - absolute,Long-term condition
F4421,,GLAUCOMA,,,Long-term condition
F45..,,GLAUCOMA,,,Long-term condition
F450.,,GLAUCOMA,,,Long-term condition
F4500,,GLAUCOMA,,Unspecified preglaucoma,Long-term condition
F4501,,GLAUCOMA,,,Long-term condition
F4502,,GLAUCOMA,,,Long-term condition
F4503,,GLAUCOMA,,,Long-term condition
F450z,,GLAUCOMA,,,Long-term condition
F451.,,GLAUCOMA,,,Long-term condition
F4510,,GLAUCOMA,,,Long-term condition
F4511,,GLAUCOMA,,,Long-term condition
F4512,,GLAUCOMA,,,Long-term condition
F4513,,GLAUCOMA,,,Long-term condition
F4514,,GLAUCOMA,,,Long-term condition
F4515,,GLAUCOMA,,,Long-term condition
F451z,,GLAUCOMA,,,Long-term condition
F452.,,GLAUCOMA,,,Long-term condition
F4520,,GLAUCOMA,,,Long-term condition
F4521,,GLAUCOMA,,,Long-term condition
F4522,,GLAUCOMA,,,Long-term condition
F4523,,GLAUCOMA,,,Long-term condition
F4524,,GLAUCOMA,,,Long-term condition
F452z,,GLAUCOMA,,,Long-term condition
F453.,,GLAUCOMA,,,Long-term condition
F4530,,GLAUCOMA,,,Long-term condition
F4531,,GLAUCOMA,,,Long-term condition
F453z,,GLAUCOMA,,,Long-term condition
F454.,,GLAUCOMA,,,Long-term condition
F4540,,GLAUCOMA,,,Long-term condition
F4541,,GLAUCOMA,,,Long-term condition
F4542,,GLAUCOMA,,,Long-term condition
F4543,,GLAUCOMA,,,Long-term condition
F4544,,GLAUCOMA,,,Long-term condition
F454z,,GLAUCOMA,,,Long-term condition
F455.,,GLAUCOMA,,,Long-term condition
F4550,,GLAUCOMA,,,Long-term condition
F4551,,GLAUCOMA,,,Long-term condition
F455z,,GLAUCOMA,,,Long-term condition
F456.,,GLAUCOMA,,,Long-term condition
F4560,,GLAUCOMA,,,Long-term condition
F4561,,GLAUCOMA,,,Long-term condition
F4562,,GLAUCOMA,,,Long-term condition
F4563,,GLAUCOMA,,,Long-term condition
F4564,,GLAUCOMA,,,Long-term condition
F4565,,GLAUCOMA,,,Long-term condition
F4566,,GLAUCOMA,,,Long-term condition
F456z,,GLAUCOMA,,,Long-term condition
F45y.,,GLAUCOMA,,,Long-term condition
F45y0,,GLAUCOMA,,,Long-term condition
F45y1,,GLAUCOMA,,,Long-term condition
F45y2,,GLAUCOMA,,,Long-term condition
F45yz,,GLAUCOMA,,,Long-term condition
F45z.,,GLAUCOMA,,,Long-term condition
F4631,,GLAUCOMA,,,Long-term condition
F4H14,,GLAUCOMA,,,Long-term condition
FyuG.,,GLAUCOMA,,,Long-term condition
FyuG0,,GLAUCOMA,,,Long-term condition
FyuG1,,GLAUCOMA,,,Long-term condition
FyuG2,,GLAUCOMA,,,Long-term condition
P3200,,GLAUCOMA,,,Long-term condition
Q20y7,,GLAUCOMA,,,Long-term condition
