code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
0Z1A.,,HEART_VALVE_DISORDERS,,Valveman,Long-term condition
14S4.,,HEART_VALVE_DISORDERS,,H/O: heart valve recipient,Long-term condition
14T3.,,HEART_VALVE_DISORDERS,,H/O: artificial heart valve,Long-term condition
24G..,,HEART_VALVE_DISORDERS,,Aortic valve gradient,Long-term condition
70101,,HEART_VALVE_DISORDERS,,Insertion of Halber valve for spina bifida,Long-term condition
70114,,HEART_VALVE_DISORDERS,,Renewal of valve of cerebroventricular shunt,Long-term condition
70160,,HEART_VALVE_DISORDERS,,Drainage of ventricle of brain using Holter valve,Long-term condition
74493,,HEART_VALVE_DISORDERS,,Insertion of endobronchial valve,Long-term condition
744D1,,HEART_VALVE_DISORDERS,,Changing of tracheooesophageal valve,Long-term condition
74583,,HEART_VALVE_DISORDERS,,Bag valve mask ventilation,Long-term condition
76112,,HEART_VALVE_DISORDERS,,Hofmeister valved gastrectomy,Long-term condition
79020,,HEART_VALVE_DISORDERS,,Correct Fallot tetralogy- valved right ventr outflow conduit,Long-term condition
79025,,HEART_VALVE_DISORDERS,,Repair of tetralogy of Fallot with absent pulmonary valve,Long-term condition
790D.,,HEART_VALVE_DISORDERS,,Creation of valved cardiac conduit,Long-term condition
790D0,,HEART_VALVE_DISORDERS,,Creation valved conduit between heart atrium and ventricle,Long-term condition
790D1,,HEART_VALVE_DISORDERS,,Creation of valved conduit between right atrium+pulm artery,Long-term condition
790D2,,HEART_VALVE_DISORDERS,,Creation of valved conduit between right ventr +pulm artery,Long-term condition
790D3,,HEART_VALVE_DISORDERS,,Creation of valved conduit between left ventricle and aorta,Long-term condition
790D4,,HEART_VALVE_DISORDERS,,Revision of valved cardiac conduit,Long-term condition
790D6,,HEART_VALVE_DISORDERS,,Creation valved conduit between left vent heart pulm artery,Long-term condition
790D7,,HEART_VALVE_DISORDERS,,Replacement of valved cardiac conduit,Long-term condition
790Dy,,HEART_VALVE_DISORDERS,,Other specified creation of valved cardiac conduit,Long-term condition
790Dz,,HEART_VALVE_DISORDERS,,Creation of valved cardiac conduit NOS,Long-term condition
790M3,,HEART_VALVE_DISORDERS,,Radical aortopulmonary recon rig vent pulmon art valvel cond,Long-term condition
790M8,,HEART_VALVE_DISORDERS,,Aortopulm recons with right ventr pulm arter valveless cond,Long-term condition
791..,,HEART_VALVE_DISORDERS,,Valves of heart and adjacent structures operations,Long-term condition
7910.,,HEART_VALVE_DISORDERS,,Replacement of mitral valve,Long-term condition
79100,,HEART_VALVE_DISORDERS,,Allograft replacement of mitral valve,Long-term condition
79101,,HEART_VALVE_DISORDERS,,Xenograft replacement of mitral valve,Long-term condition
79102,,HEART_VALVE_DISORDERS,,Prosthetic replacement of mitral valve,Long-term condition
