code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
14C4.,,IBD,,,Long-term condition
J08z9,,IBD,,,Long-term condition
J40..,,IBD,,,Long-term condition
J400.,,IBD,,,Long-term condition
J4000,,IBD,,,Long-term condition
J4001,,IBD,,,Long-term condition
J4002,,IBD,,,Long-term condition
J4003,,IBD,,,Long-term condition
J4004,,IBD,,,Long-term condition
J4005,,IBD,,,Long-term condition
J400z,,IBD,,,Long-term condition
J401.,,IBD,,,Long-term condition
J4010,,IBD,,,Long-term condition
J4011,,IBD,,,Long-term condition
J4012,,IBD,,,Long-term condition
J401z,,IBD,,,Long-term condition
J402.,,IBD,,,Long-term condition
J40z.,,IBD,,,Long-term condition
J41..,,IBD,,,Long-term condition
J410.,,IBD,,,Long-term condition
J4100,,IBD,,,Long-term condition
J4101,,IBD,,,Long-term condition
J4102,,IBD,,,Long-term condition
J4103,,IBD,,,Long-term condition
J4104,,IBD,,,Long-term condition
J410z,,IBD,,,Long-term condition
J411.,,IBD,,,Long-term condition
J412.,,IBD,,,Long-term condition
J413.,,IBD,,Ulcerative pancolitis,Long-term condition
J41y.,,IBD,,,Long-term condition
J4212,,IBD,,,Long-term condition
J4213,,IBD,,,Long-term condition
J42z0,,IBD,,,Long-term condition
J4302,,IBD,,,Long-term condition
J4303,,IBD,,,Long-term condition
J4312,,IBD,,,Long-term condition
J4313,,IBD,,,Long-term condition
J4322,,IBD,,,Long-term condition
J4323,,IBD,,,Long-term condition
J4332,,IBD,,,Long-term condition
J4333,,IBD,,,Long-term condition
J436.,,IBD,,,Long-term condition
J4360,,IBD,,,Long-term condition
J4361,,IBD,,,Long-term condition
J437.,,IBD,,,Long-term condition
J4z3.,,IBD,,,Long-term condition
J4z5.,,IBD,,,Long-term condition
J4z6.,,IBD,,,Long-term condition
Jyu4.,,IBD,,,Long-term condition
Jyu40,,IBD,,,Long-term condition
Jyu41,,IBD,,,Long-term condition
N0310,,IBD,,,Long-term condition
N0311,,IBD,,,Long-term condition
N0453,,IBD,,,Long-term condition
N0454,,IBD,,,Long-term condition
