code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
12K6.,,LEARNING_DISABILITY,,Maternal learning disability,Long-term condition
12L5.,,LEARNING_DISABILITY,,Paternal learning disability,Long-term condition
13Z4E,,LEARNING_DISABILITY,,,Long-term condition
1IN..,,LEARNING_DISABILITY,,Learning disability excluded,Long-term condition
69DB.,,LEARNING_DISABILITY,,Learning disability health examination,Long-term condition
918W.,,LEARNING_DISABILITY,,Carer of a person with learning disability,Long-term condition
918e.,,LEARNING_DISABILITY,,On learning disability register,Long-term condition
949H.,,LEARNING_DISABILITY,,Died in learning disability unit,Long-term condition
9HB..,,LEARNING_DISABILITY,,Learning disabilities administration status,Long-term condition
9HB1.,,LEARNING_DISABILITY,,Learning disabilities health action plan offered,Long-term condition
9HB2.,,LEARNING_DISABILITY,,Learning disabilities health action plan reviewed,Long-term condition
9HB3.,,LEARNING_DISABILITY,,,Long-term condition
9HB4.,,LEARNING_DISABILITY,,Learning disabilities health action plan completed,Long-term condition
9HB5.,,LEARNING_DISABILITY,,,Long-term condition
E2F2.,,LEARNING_DISABILITY,,Other specific learning difficulty,Long-term condition
E3...,,LEARNING_DISABILITY,,,Long-term condition
E30..,,LEARNING_DISABILITY,,,Long-term condition
E31..,,LEARNING_DISABILITY,,,Long-term condition
E310.,,LEARNING_DISABILITY,,,Long-term condition
E311.,,LEARNING_DISABILITY,,,Long-term condition
E312.,,LEARNING_DISABILITY,,,Long-term condition
E31z.,,LEARNING_DISABILITY,,,Long-term condition
E3y..,,LEARNING_DISABILITY,,,Long-term condition
E3z..,,LEARNING_DISABILITY,,,Long-term condition
Eu7..,,LEARNING_DISABILITY,,,Long-term condition
Eu70.,,LEARNING_DISABILITY,,,Long-term condition
Eu700,,LEARNING_DISABILITY,,,Long-term condition
Eu701,,LEARNING_DISABILITY,,,Long-term condition
Eu70y,,LEARNING_DISABILITY,,,Long-term condition
Eu70z,,LEARNING_DISABILITY,,,Long-term condition
Eu71.,,LEARNING_DISABILITY,,,Long-term condition
Eu710,,LEARNING_DISABILITY,,,Long-term condition
Eu711,,LEARNING_DISABILITY,,,Long-term condition
Eu71y,,LEARNING_DISABILITY,,,Long-term condition
Eu71z,,LEARNING_DISABILITY,,,Long-term condition
Eu72.,,LEARNING_DISABILITY,,,Long-term condition
Eu720,,LEARNING_DISABILITY,,,Long-term condition
Eu721,,LEARNING_DISABILITY,,,Long-term condition
Eu72y,,LEARNING_DISABILITY,,,Long-term condition
Eu72z,,LEARNING_DISABILITY,,,Long-term condition
Eu73.,,LEARNING_DISABILITY,,,Long-term condition
Eu730,,LEARNING_DISABILITY,,,Long-term condition
Eu731,,LEARNING_DISABILITY,,,Long-term condition
Eu73y,,LEARNING_DISABILITY,,,Long-term condition
Eu73z,,LEARNING_DISABILITY,,,Long-term condition
Eu7y.,,LEARNING_DISABILITY,,,Long-term condition
Eu7y0,,LEARNING_DISABILITY,,,Long-term condition
Eu7y1,,LEARNING_DISABILITY,,,Long-term condition
Eu7yy,,LEARNING_DISABILITY,,,Long-term condition
Eu7yz,,LEARNING_DISABILITY,,,Long-term condition
Eu7z.,,LEARNING_DISABILITY,,,Long-term condition
Eu7z0,,LEARNING_DISABILITY,,,Long-term condition
Eu7z1,,LEARNING_DISABILITY,,,Long-term condition
Eu7zy,,LEARNING_DISABILITY,,,Long-term condition
Eu7zz,,LEARNING_DISABILITY,,,Long-term condition
Eu814,,LEARNING_DISABILITY,,,Long-term condition
Eu815,,LEARNING_DISABILITY,,,Long-term condition
Eu816,,LEARNING_DISABILITY,,,Long-term condition
Eu817,,LEARNING_DISABILITY,,,Long-term condition
Eu818,,LEARNING_DISABILITY,,[X]Specific learning disability,Long-term condition
Eu81z,,LEARNING_DISABILITY,,,Long-term condition
