code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
1429.,,LEUKAEMIA,,H/O: * leukaemia,Long-term condition
B624.,,LEUKAEMIA,,Hairy cell leukaemia,Long-term condition
B64..,,LEUKAEMIA,,Lymphatic leukaemia,Long-term condition
B640.,,LEUKAEMIA,,Acute lymphoid leukaemia,Long-term condition
B6400,,LEUKAEMIA,,B-cell acute lymphoblastic leukaemia,Long-term condition
B641.,,LEUKAEMIA,,Chronic lymphoid leukaemia,Long-term condition
B6410,,LEUKAEMIA,,B-cell chronic lymphocytic leukaemia,Long-term condition
B6411,,LEUKAEMIA,,Clinical stage A chronic lymphocytic leukaemia,Long-term condition
B6412,,LEUKAEMIA,,Clinical stage B chronic lymphocytic leukaemia,Long-term condition
B6413,,LEUKAEMIA,,Clinical stage C chronic lymphocytic leukaemia,Long-term condition
B642.,,LEUKAEMIA,,Subacute lymphoid leukaemia,Long-term condition
B64y.,,LEUKAEMIA,,Other lymphoid leukaemia,Long-term condition
B64y0,,LEUKAEMIA,,Aleukaemic lymphoid leukaemia,Long-term condition
B64y1,,LEUKAEMIA,,Prolymphocytic leukaemia,Long-term condition
B64y2,,LEUKAEMIA,,Adult T-cell leukaemia,Long-term condition
B64y3,,LEUKAEMIA,,B-cell prolymphocytic leukaemia,Long-term condition
B64y4,,LEUKAEMIA,,T-cell prolymphocytic leukaemia,Long-term condition
B64y5,,LEUKAEMIA,,Adult T-cell lymphoma/leukaemia (HTLV-1-associated),Long-term condition
B64yz,,LEUKAEMIA,,Other lymphoid leukaemia NOS,Long-term condition
B64z.,,LEUKAEMIA,,Lymphoid leukaemia NOS,Long-term condition
B65..,,LEUKAEMIA,,Myeloid leukaemia,Long-term condition
B650.,,LEUKAEMIA,,Acute myeloid leukaemia,Long-term condition
B6500,,LEUKAEMIA,,Acute myeloid leukaemia with 11q23 abnormality,Long-term condition
B6501,,LEUKAEMIA,,Acute myeloid leukaemia with multilineage dysplasia,Long-term condition
B651.,,LEUKAEMIA,,Chronic myeloid leukaemia,Long-term condition
B6510,,LEUKAEMIA,,Chronic eosinophilic leukaemia,Long-term condition
B6511,,LEUKAEMIA,,"Chronic myeloid leukaemia, BCR/ABL positive",Long-term condition
B6512,,LEUKAEMIA,,Chronic neutrophilic leukaemia,Long-term condition
B6513,,LEUKAEMIA,,"Atypical chronic myeloid leukaemia, BCR/ABL negative",Long-term condition
B651z,,LEUKAEMIA,,Chronic myeloid leukaemia NOS,Long-term condition
B652.,,LEUKAEMIA,,Subacute myeloid leukaemia,Long-term condition
B653.,,LEUKAEMIA,,Myeloid sarcoma,Long-term condition
B6530,,LEUKAEMIA,,Chloroma,Long-term condition
B6531,,LEUKAEMIA,,Granulocytic sarcoma,Long-term condition
B653z,,LEUKAEMIA,,Myeloid sarcoma NOS,Long-term condition
B654.,,LEUKAEMIA,,Acute myeloblastic leukaemia,Long-term condition
B65y.,,LEUKAEMIA,,Other myeloid leukaemia,Long-term condition
B65y0,,LEUKAEMIA,,Aleukaemic myeloid leukaemia,Long-term condition
B65y1,,LEUKAEMIA,,Acute promyelocytic leukaemia,Long-term condition
B65yz,,LEUKAEMIA,,Other myeloid leukaemia NOS,Long-term condition
B65z.,,LEUKAEMIA,,Myeloid leukaemia NOS,Long-term condition
B66..,,LEUKAEMIA,,Monocytic leukaemia,Long-term condition
B660.,,LEUKAEMIA,,Acute monocytic leukaemia,Long-term condition
