code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
4M20.,,LYMPHOMA,,Lymphoma stage I,Long-term condition
4M21.,,LYMPHOMA,,Lymphoma stage II,Long-term condition
4M22.,,LYMPHOMA,,Lymphoma stage III,Long-term condition
4M23.,,LYMPHOMA,,Lymphoma stage IV,Long-term condition
A7896,,LYMPHOMA,,HIV disease resulting in Burkitt's lymphoma,Long-term condition
A7897,,LYMPHOMA,,HIV dis resulting oth types of non-Hodgkin's lymphoma,Long-term condition
AyuC6,,LYMPHOMA,,[X]HIV disease resulting in other non-Hodgkin's lymphoma,Long-term condition
B5601,,LYMPHOMA,,Secondary and unspec malignant neoplasm mastoid lymph nodes,Long-term condition
B6...,,LYMPHOMA,,Malignant neoplasm of lymphatic and haemopoietic tissue,Long-term condition
B60..,,LYMPHOMA,,Lymphosarcoma and reticulosarcoma,Long-term condition
B600.,,LYMPHOMA,,Reticulosarcoma,Long-term condition
B6000,,LYMPHOMA,,Reticulosarcoma of unspecified site,Long-term condition
B6001,,LYMPHOMA,,"Reticulosarcoma of lymph nodes of head, face and neck",Long-term condition
B6002,,LYMPHOMA,,Reticulosarcoma of intrathoracic lymph nodes,Long-term condition
B6003,,LYMPHOMA,,Reticulosarcoma of intra-abdominal lymph nodes,Long-term condition
B6004,,LYMPHOMA,,Reticulosarcoma of lymph nodes of axilla and upper limb,Long-term condition
B6005,,LYMPHOMA,,Reticulosarcoma of lymph nodes of inguinal region and leg,Long-term condition
B6006,,LYMPHOMA,,Reticulosarcoma of intrapelvic lymph nodes,Long-term condition
B6007,,LYMPHOMA,,Reticulosarcoma of spleen,Long-term condition
B6008,,LYMPHOMA,,Reticulosarcoma of lymph nodes of multiple sites,Long-term condition
B600z,,LYMPHOMA,,Reticulosarcoma NOS,Long-term condition
B601.,,LYMPHOMA,,Lymphosarcoma,Long-term condition
B6010,,LYMPHOMA,,Lymphosarcoma of unspecified site,Long-term condition
B6011,,LYMPHOMA,,"Lymphosarcoma of lymph nodes of head, face and neck",Long-term condition
B6012,,LYMPHOMA,,Lymphosarcoma of intrathoracic lymph nodes,Long-term condition
B6013,,LYMPHOMA,,Lymphosarcoma of intra-abdominal lymph nodes,Long-term condition
B6014,,LYMPHOMA,,Lymphosarcoma of lymph nodes of axilla and upper limb,Long-term condition
B6015,,LYMPHOMA,,Lymphosarcoma of lymph nodes of inguinal region and leg,Long-term condition
B6016,,LYMPHOMA,,Lymphosarcoma of intrapelvic lymph nodes,Long-term condition
B6017,,LYMPHOMA,,Lymphosarcoma of spleen,Long-term condition
B6018,,LYMPHOMA,,Lymphosarcoma of lymph nodes of multiple sites,Long-term condition
B601z,,LYMPHOMA,,Lymphosarcoma NOS,Long-term condition
B602.,,LYMPHOMA,,Burkitt's lymphoma,Long-term condition
B6020,,LYMPHOMA,,Burkitt's lymphoma of unspecified site,Long-term condition
B6021,,LYMPHOMA,,"Burkitt's lymphoma of lymph nodes of head, face and neck",Long-term condition
B6022,,LYMPHOMA,,Burkitt's lymphoma of intrathoracic lymph nodes,Long-term condition
B6023,,LYMPHOMA,,Burkitt's lymphoma of intra-abdominal lymph nodes,Long-term condition
B6024,,LYMPHOMA,,Burkitt's lymphoma of lymph nodes of axilla and upper limb,Long-term condition
B6025,,LYMPHOMA,,Burkitt's lymphoma of lymph nodes of inguinal region and leg,Long-term condition
B6026,,LYMPHOMA,,Burkitt's lymphoma of intrapelvic lymph nodes,Long-term condition
B6027,,LYMPHOMA,,Burkitt's lymphoma of spleen,Long-term condition
B6028,,LYMPHOMA,,Burkitt's lymphoma of lymph nodes of multiple sites,Long-term condition
B602z,,LYMPHOMA,,Burkitt's lymphoma NOS,Long-term condition
B60y.,,LYMPHOMA,,Other specified reticulosarcoma or lymphosarcoma,Long-term condition
B60z.,,LYMPHOMA,,Reticulosarcoma or lymphosarcoma NOS,Long-term condition
B61..,,LYMPHOMA,,Hodgkin's disease,Long-term condition
B610.,,LYMPHOMA,,Hodgkin's paragranuloma,Long-term condition
B6100,,LYMPHOMA,,Hodgkin's paragranuloma of unspecified site,Long-term condition
B6101,,LYMPHOMA,,"Hodgkin's paragranuloma of lymph nodes of head, face, neck",Long-term condition
B6102,,LYMPHOMA,,Hodgkin's paragranuloma of intrathoracic lymph nodes,Long-term condition
B6103,,LYMPHOMA,,Hodgkin's paragranuloma of intra-abdominal lymph nodes,Long-term condition
B6104,,LYMPHOMA,,Hodgkin's paragranuloma of lymph nodes of axilla and arm,Long-term condition
B6105,,LYMPHOMA,,Hodgkin's paragranuloma lymph nodes inguinal region and leg,Long-term condition
B6106,,LYMPHOMA,,Hodgkin's paragranuloma of intrapelvic lymph nodes,Long-term condition
B6107,,LYMPHOMA,,Hodgkin's paragranuloma of spleen,Long-term condition
B6108,,LYMPHOMA,,Hodgkin's paragranuloma of lymph nodes of multiple sites,Long-term condition
B610z,,LYMPHOMA,,Hodgkin's paragranuloma NOS,Long-term condition
B611.,,LYMPHOMA,,Hodgkin's granuloma,Long-term condition
B6110,,LYMPHOMA,,Hodgkin's granuloma of unspecified site,Long-term condition
B6111,,LYMPHOMA,,"Hodgkin's granuloma of lymph nodes of head, face and neck",Long-term condition
B6112,,LYMPHOMA,,Hodgkin's granuloma of intrathoracic lymph nodes,Long-term condition
B6113,,LYMPHOMA,,Hodgkin's granuloma of intra-abdominal lymph nodes,Long-term condition
B6114,,LYMPHOMA,,Hodgkin's granuloma of lymph nodes of axilla and upper limb,Long-term condition
B6115,,LYMPHOMA,,Hodgkin's granuloma lymph nodes of inguinal region and leg,Long-term condition
