code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
1D18.,,METASTATIC_CANCER,,Pain from metastases,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
5136.,,METASTATIC_CANCER,,X-ray metastasis control,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
5A12.,,METASTATIC_CANCER,,Thyroid tumour/metast irradiat,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
5A15.,,METASTATIC_CANCER,,Bone tumour/metast.irradiat.,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
8Hgg.,,METASTATIC_CANCER,,Discharge from secondary care cancer service,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
A7886,,METASTATIC_CANCER,,Human immunodeficiency virus with secondary cancers,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B153.,,METASTATIC_CANCER,,Secondary malignant neoplasm of liver,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B56..,,METASTATIC_CANCER,,Lymph node metastases,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B560.,,METASTATIC_CANCER,,Secondary and unspec malig neop lymph nodes head/face/neck,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5600,,METASTATIC_CANCER,,Secondary and unspec malig neop of superficial parotid LN,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5601,,METASTATIC_CANCER,,Secondary and unspec malignant neoplasm mastoid lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5602,,METASTATIC_CANCER,,Secondary and unspec malig neop superficial cervical LN,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5603,,METASTATIC_CANCER,,Secondary and unspec malignant neoplasm occipital lymph node,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5604,,METASTATIC_CANCER,,Secondary and unspec malig neop deep parotid lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5605,,METASTATIC_CANCER,,Secondary and unspec malig neop submandibular lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5606,,METASTATIC_CANCER,,Secondary and unspec malig neop of facial lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5607,,METASTATIC_CANCER,,Secondary and unspec malig neop submental lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5608,,METASTATIC_CANCER,,Secondary and unspec malig neop anterior cervical LN,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5609,,METASTATIC_CANCER,,Secondary and unspec malig neop deep cervical LN,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B560z,,METASTATIC_CANCER,,Secondary unspec malig neop lymph nodes head/face/neck NOS,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B561.,,METASTATIC_CANCER,,Secondary and unspec malig neop intrathoracic lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5610,,METASTATIC_CANCER,,Secondary and unspec malig neop internal mammary lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5611,,METASTATIC_CANCER,,Secondary and unspec malig neop intercostal lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5612,,METASTATIC_CANCER,,Secondary and unspec malig neop diaphragmatic lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5613,,METASTATIC_CANCER,,Secondary and unspec malig neop ant mediastinal lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5614,,METASTATIC_CANCER,,Secondary and unspec malig neop post mediastinal lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5615,,METASTATIC_CANCER,,Secondary and unspec malig neop paratracheal lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5616,,METASTATIC_CANCER,,Secondary and unspec malig neop superfic tracheobronchial LN,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5617,,METASTATIC_CANCER,,Secondary and unspec malig neop inferior tracheobronchial LN,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5618,,METASTATIC_CANCER,,Secondary and unspec malig neop bronchopulmonary lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5619,,METASTATIC_CANCER,,Secondary and unspec malig neop pulmonary lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B561z,,METASTATIC_CANCER,,Secondary and unspec malig neop intrathoracic LN NOS,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B562.,,METASTATIC_CANCER,,Secondary and unspec malig neop intra-abdominal lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5620,,METASTATIC_CANCER,,Secondary and unspec malig neop coeliac lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5621,,METASTATIC_CANCER,,Secondary and unspec malig neop superficial mesenteric LN,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5622,,METASTATIC_CANCER,,Secondary and unspec malig neop inferior mesenteric LN,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5623,,METASTATIC_CANCER,,Secondary and unspec malig neop common iliac lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5624,,METASTATIC_CANCER,,Secondary and unspec malig neop external iliac lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B562z,,METASTATIC_CANCER,,Secondary and unspec malig neop intra-abdominal LN NOS,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B563.,,METASTATIC_CANCER,,Secondary and unspec malig neop axilla and upper limb LN,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5630,,METASTATIC_CANCER,,Secondary and unspec malig neop axillary lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5631,,METASTATIC_CANCER,,Secondary and unspec malig neop supratrochlear lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5632,,METASTATIC_CANCER,,Secondary and unspec malig neop infraclavicular lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5633,,METASTATIC_CANCER,,Secondary and unspec malig neop pectoral lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B563z,,METASTATIC_CANCER,,Secondary and unspec malig neop axilla and upper limb LN NOS,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B564.,,METASTATIC_CANCER,,Secondary and unspec malig neop inguinal and lower limb LN,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5640,,METASTATIC_CANCER,,Secondary and unspec malig neop superficial inguinal LN,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5641,,METASTATIC_CANCER,,Secondary and unspec malig neop deep inguinal lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5642,,METASTATIC_CANCER,,Secondary and unspec malig neop popliteal lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B564z,,METASTATIC_CANCER,,Secondary and unspec malig neop of inguinal and leg LN NOS,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B565.,,METASTATIC_CANCER,,Secondary and unspec malig neop intrapelvic lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5650,,METASTATIC_CANCER,,Secondary and unspec malig neop internal iliac lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5651,,METASTATIC_CANCER,,Secondary and unspec malig neop inferior epigastric LN,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5652,,METASTATIC_CANCER,,Secondary and unspec malig neop circumflex iliac LN,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5653,,METASTATIC_CANCER,,Secondary and unspec malig neop sacral lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B5654,,METASTATIC_CANCER,,Secondary and unspec malig neop obturator lymph nodes,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B565z,,METASTATIC_CANCER,,Secondary and unspec malig neop intrapelvic LN NOS,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B56y.,,METASTATIC_CANCER,,Secondary and unspec malig neop lymph nodes multiple sites,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B56z.,,METASTATIC_CANCER,,Secondary and unspec malig neop lymph nodes NOS,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
B57..,,METASTATIC_CANCER,,Metastases of respiratory and/or digestive systems,Long-term condition - see WP3 list as this NOT considered a Condition (it is a Stage of Progression of Cancer) - needs discussion
