code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
14G2.,,OSTEOARTHRITIS,,H/O: osteoarthritis,Long-term condition
7P204,,OSTEOARTHRITIS,,Delivery of rehabilitation for osteoarthritis,Long-term condition
9hQ..,,OSTEOARTHRITIS,,Exception reporting: osteoarthritis quality indicators,Long-term condition
9hQ0.,,OSTEOARTHRITIS,,Excepted fr osteoarthritis quality indicators: pt unsuitable,Long-term condition
9hQ1.,,OSTEOARTHRITIS,,Excepted osteoarthritis quality indicators: informed dissent,Long-term condition
F1632,,OSTEOARTHRITIS,,Myelopathy due to spondylosis,Long-term condition
F3372,,OSTEOARTHRITIS,,Nerve root and plexus compressions in spondylosis,Long-term condition
N0...,,OSTEOARTHRITIS,,Arthritis/arthrosis,Long-term condition
N05..,,OSTEOARTHRITIS,,Osteoarthritis,Long-term condition
N050.,,OSTEOARTHRITIS,,Generalised osteoarthritis - OA,Long-term condition
N0500,,OSTEOARTHRITIS,,Generalised osteoarthritis of unspecified site,Long-term condition
N0501,,OSTEOARTHRITIS,,Heberdens' nodes,Long-term condition
N0502,,OSTEOARTHRITIS,,Generalised osteoarthritis of multiple sites,Long-term condition
N0504,,OSTEOARTHRITIS,,Primary generalized osteoarthrosis,Long-term condition
N0505,,OSTEOARTHRITIS,,Secondary multiple arthrosis,Long-term condition
N0506,,OSTEOARTHRITIS,,Erosive osteoarthrosis,Long-term condition
N0507,,OSTEOARTHRITIS,,Heberden's nodes with arthropathy,Long-term condition
N050z,,OSTEOARTHRITIS,,Generalised osteoarthritis NOS,Long-term condition
N051.,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis",Long-term condition
N0510,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis of unspecified site",Long-term condition
N0511,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis of the shoulder region",Long-term condition
N0512,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis of the upper arm",Long-term condition
N0513,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis of the forearm",Long-term condition
N0514,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis of the hand",Long-term condition
N0515,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis of the pelvic region/thigh",Long-term condition
N0516,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis of the lower leg",Long-term condition
N0517,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis of the ankle and foot",Long-term condition
N0518,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis of other specified site",Long-term condition
N0519,,OSTEOARTHRITIS,,"Primary coxarthrosis, bilateral",Long-term condition
N051B,,OSTEOARTHRITIS,,"Primary gonarthrosis, bilateral",Long-term condition
N051C,,OSTEOARTHRITIS,,"Primary arthrosis of first carpometacarpal joints, bilateral",Long-term condition
N051D,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis of the wrist",Long-term condition
N051E,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis of toe",Long-term condition
N051F,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis of elbow",Long-term condition
N051G,,OSTEOARTHRITIS,,Osteoarthritis of spinal facet joint,Long-term condition
N051z,,OSTEOARTHRITIS,,"Localised, primary osteoarthritis NOS",Long-term condition
N052.,,OSTEOARTHRITIS,,"Localised, secondary osteoarthritis",Long-term condition
N0520,,OSTEOARTHRITIS,,"Localised, secondary osteoarthritis of unspecified site",Long-term condition
N0521,,OSTEOARTHRITIS,,"Localised, secondary osteoarthritis of the shoulder region",Long-term condition
N0522,,OSTEOARTHRITIS,,"Localised, secondary osteoarthritis of the upper arm",Long-term condition
N0523,,OSTEOARTHRITIS,,"Localised, secondary osteoarthritis of the forearm",Long-term condition
N0524,,OSTEOARTHRITIS,,"Localised, secondary osteoarthritis of the hand",Long-term condition
N0525,,OSTEOARTHRITIS,,"Localised, secondary osteoarthritis of pelvic region/thigh",Long-term condition
N0526,,OSTEOARTHRITIS,,"Localised, secondary osteoarthritis of the lower leg",Long-term condition
N0527,,OSTEOARTHRITIS,,"Localised, secondary osteoarthritis of the ankle and foot",Long-term condition
N0528,,OSTEOARTHRITIS,,"Localised, secondary osteoarthritis of other specified site",Long-term condition
N0529,,OSTEOARTHRITIS,,"Post-traumatic coxarthrosis, bilateral",Long-term condition
N052A,,OSTEOARTHRITIS,,"Post-traumatic gonarthrosis, bilateral",Long-term condition
N052B,,OSTEOARTHRITIS,,Post-traumatic arthrosis of first carpometacarpal jt bilat,Long-term condition
N052C,,OSTEOARTHRITIS,,"Post-traumatic gonarthrosis, unilateral",Long-term condition
N052z,,OSTEOARTHRITIS,,"Localised, secondary osteoarthritis NOS",Long-term condition
N053.,,OSTEOARTHRITIS,,"Localised osteoarthritis, unspecified",Long-term condition
N0530,,OSTEOARTHRITIS,,"Localised osteoarthritis, unspecified, of unspecified site",Long-term condition
N0531,,OSTEOARTHRITIS,,"Localised osteoarthritis, unspecified, of shoulder region",Long-term condition
N0532,,OSTEOARTHRITIS,,"Localised osteoarthritis, unspecified, of the upper arm",Long-term condition
N0533,,OSTEOARTHRITIS,,"Localised osteoarthritis, unspecified, of the forearm",Long-term condition
N0534,,OSTEOARTHRITIS,,"Localised osteoarthritis, unspecified, of the hand",Long-term condition
N0535,,OSTEOARTHRITIS,,Hip osteoarthitis NOS,Long-term condition
N0536,,OSTEOARTHRITIS,,Patellofemoral osteoarthritis,Long-term condition
N0537,,OSTEOARTHRITIS,,"Localised osteoarthritis, unspecified, of the ankle and foot",Long-term condition
