code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
147F.,,PARKINSONS,,,Long-term condition
297A.,,PARKINSONS,,,Long-term condition
2987.,,PARKINSONS,,,Long-term condition
2994.,,PARKINSONS,,,Long-term condition
A94y1,,PARKINSONS,,,Long-term condition
Eu023,,PARKINSONS,,,Long-term condition
F11x9,,PARKINSONS,,,Long-term condition
F12..,,PARKINSONS,,,Long-term condition
F120.,,PARKINSONS,,,Long-term condition
F121.,,PARKINSONS,,,Long-term condition
F123.,,PARKINSONS,,,Long-term condition
F124.,,PARKINSONS,,,Long-term condition
F12W.,,PARKINSONS,,,Long-term condition
F12X.,,PARKINSONS,,,Long-term condition
F12z.,,PARKINSONS,,,Long-term condition
F1303,,PARKINSONS,,,Long-term condition
Fyu20,,PARKINSONS,,,Long-term condition
Fyu21,,PARKINSONS,,,Long-term condition
Fyu22,,PARKINSONS,,,Long-term condition
Fyu29,,PARKINSONS,,,Long-term condition
Fyu2B,,PARKINSONS,,,Long-term condition
