code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
14E1.,,PROSTATE_DISORDERS,,H/O: prostatism,Long-term condition
1AA..,,PROSTATE_DISORDERS,,Prostatism,Long-term condition
7B395,,PROSTATE_DISORDERS,,TURP using an electrotome,Long-term condition
8L51.,,PROSTATE_DISORDERS,,,Long-term condition
A1650,,PROSTATE_DISORDERS,,,Long-term condition
A9812,,PROSTATE_DISORDERS,,,Long-term condition
A9832,,PROSTATE_DISORDERS,,,Long-term condition
AD103,,PROSTATE_DISORDERS,,,Long-term condition
B46..,,PROSTATE_DISORDERS,,,Long-term condition
B58y5,,PROSTATE_DISORDERS,,,Long-term condition
B7C2.,,PROSTATE_DISORDERS,,,Long-term condition
B834.,,PROSTATE_DISORDERS,,,Long-term condition
B8340,,PROSTATE_DISORDERS,,,Long-term condition
B915.,,PROSTATE_DISORDERS,,,Long-term condition
K20..,,PROSTATE_DISORDERS,,,Long-term condition
K200.,,PROSTATE_DISORDERS,,,Long-term condition
K201.,,PROSTATE_DISORDERS,,,Long-term condition
K202.,,PROSTATE_DISORDERS,,,Long-term condition
K20z.,,PROSTATE_DISORDERS,,,Long-term condition
K21..,,PROSTATE_DISORDERS,,,Long-term condition
K210.,,PROSTATE_DISORDERS,,,Long-term condition
K211.,,PROSTATE_DISORDERS,,,Long-term condition
K212.,,PROSTATE_DISORDERS,,,Long-term condition
K213.,,PROSTATE_DISORDERS,,,Long-term condition
K214.,,PROSTATE_DISORDERS,,,Long-term condition
K2140,,PROSTATE_DISORDERS,,,Long-term condition
K2141,,PROSTATE_DISORDERS,,,Long-term condition
K2142,,PROSTATE_DISORDERS,,,Long-term condition
K2143,,PROSTATE_DISORDERS,,,Long-term condition
K2144,,PROSTATE_DISORDERS,,,Long-term condition
K2145,,PROSTATE_DISORDERS,,,Long-term condition
K2146,,PROSTATE_DISORDERS,,,Long-term condition
K214z,,PROSTATE_DISORDERS,,,Long-term condition
K21y.,,PROSTATE_DISORDERS,,,Long-term condition
K21z.,,PROSTATE_DISORDERS,,,Long-term condition
K22..,,PROSTATE_DISORDERS,,,Long-term condition
K220.,,PROSTATE_DISORDERS,,,Long-term condition
K221.,,PROSTATE_DISORDERS,,,Long-term condition
K2210,,PROSTATE_DISORDERS,,,Long-term condition
K2211,,PROSTATE_DISORDERS,,,Long-term condition
K221z,,PROSTATE_DISORDERS,,,Long-term condition
K222.,,PROSTATE_DISORDERS,,,Long-term condition
K22y.,,PROSTATE_DISORDERS,,,Long-term condition
K22y0,,PROSTATE_DISORDERS,,,Long-term condition
K22y1,,PROSTATE_DISORDERS,,,Long-term condition
K22y2,,PROSTATE_DISORDERS,,,Long-term condition
K22y3,,PROSTATE_DISORDERS,,,Long-term condition
K22yz,,PROSTATE_DISORDERS,,,Long-term condition
K22z.,,PROSTATE_DISORDERS,,,Long-term condition
Kyu60,,PROSTATE_DISORDERS,,,Long-term condition
Kyu61,,PROSTATE_DISORDERS,,,Long-term condition
Kyu68,,PROSTATE_DISORDERS,,,Long-term condition
PCy01,,PROSTATE_DISORDERS,,,Long-term condition
PCyx.,,PROSTATE_DISORDERS,,,Long-term condition
Pyu69,,PROSTATE_DISORDERS,,,Long-term condition
