code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
14NB.,,PVD,,,Long-term condition
1M110,,PVD,,Ischaemic foot pain at rest,Long-term condition
1M111,,PVD,,Ischaemic foot pain when walking,Long-term condition
2G63.,,PVD,,Ischaemic toe,Long-term condition
5593.,,PVD,,Femoral arteriogram abnormal,Long-term condition
55A2.,,PVD,,Lower limb arteriogram abnorm.,Long-term condition
727A4,,PVD,,Scanning laser ophthalmoscopy evaluation of retina,Long-term condition
7A10.,,PVD,,Extraanatomic bypass of aorta,Long-term condition
7A100,,PVD,,Emerg aortic bypass by anastomosis axillary to femoral art,Long-term condition
7A101,,PVD,,Bypass aorta by anastomosis axillary to femoral artery NEC,Long-term condition
7A102,,PVD,,Axillo-bifemoral bypass graft,Long-term condition
7A103,,PVD,,Axillo-unifemoral PTFE bypass graft,Long-term condition
7A104,,PVD,,Bypass aorta anastomosis axillary artery bi femoral arteries,Long-term condition
7A10y,,PVD,,Other specified extraanatomic bypass of aorta,Long-term condition
7A10z,,PVD,,Extraanatomic bypass of aorta NOS,Long-term condition
7A192,,PVD,,Open embolectomy of bifurcation of aorta,Long-term condition
7A4..,,PVD,,Iliac and femoral artery operations,Long-term condition
7A40.,,PVD,,Replacement of aneurysmal iliac artery,Long-term condition
7A400,,PVD,,Emerg replace aneurysm iliac art by iliac/femoral art anast,Long-term condition
7A401,,PVD,,Replace aneurysmal iliac art by iliac/femoral art anast NEC,Long-term condition
7A402,,PVD,,Emerg replace aneurysmal iliac artery by fem/fem art anast,Long-term condition
7A403,,PVD,,Replace aneurysmal iliac artery by fem/fem artery anast NEC,Long-term condition
7A404,,PVD,,Emerg replace aneurys com iliac a by aorta/com iliac a anast,Long-term condition
7A405,,PVD,,Emerg replace aneurys iliac art by aorta/ext iliac art anast,Long-term condition
7A406,,PVD,,Emerg replace aneurysm leg artery by aorta/com fem art anast,Long-term condition
7A407,,PVD,,Emerg replace aneurysm leg artery by aorta/sup fem art anast,Long-term condition
7A408,,PVD,,Emerg replace aneurysm iliac artery by iliac/iliac art anast,Long-term condition
7A409,,PVD,,Replace aneurysm com iliac a by aorta/com iliac a anast NEC,Long-term condition
7A40A,,PVD,,Replace aneurysm iliac art by aorta/ext iliac art anast NEC,Long-term condition
7A40B,,PVD,,Replace aneurysm leg artery by aorta/com fem art anast NEC,Long-term condition
7A40C,,PVD,,Replace aneurysm leg artery by aorta/sup fem art anast NEC,Long-term condition
7A40D,,PVD,,Replace aneurysm iliac artery by iliac/iliac art anast NEC,Long-term condition
