code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
14G1.,,RHEUMATOID_ARTHRITIS,,H/O: rheumatoid arthritis,Long-term condition
38DZ.,,RHEUMATOID_ARTHRITIS,,Disease activity score in rheumatoid arthritis,Long-term condition
38DZ0,,RHEUMATOID_ARTHRITIS,,Disease activity score 28 joint in rheumatoid arthritis,Long-term condition
66HB0,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis annual review,Long-term condition
7P203,,RHEUMATOID_ARTHRITIS,,Delivery of rehabilitation for rheumatoid arthritis,Long-term condition
9hR..,,RHEUMATOID_ARTHRITIS,,Exception reporting: rheumatoid arthritis quality indicators,Long-term condition
9hR0.,,RHEUMATOID_ARTHRITIS,,Except rheumatoid arthritis quality indicator: pt unsuitable,Long-term condition
9hR1.,,RHEUMATOID_ARTHRITIS,,Except rheumatoid arthritis qual indicator: informed dissent,Long-term condition
9mM..,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis monitoring invitation,Long-term condition
9mM0.,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis monitoring invitation first letter,Long-term condition
9mM1.,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis monitoring invitation second letter,Long-term condition
9mM2.,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis monitoring invitation third letter,Long-term condition
9mM3.,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis monitoring verbal invitation,Long-term condition
9mM4.,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis monitoring telephone invitation,Long-term condition
F3712,,RHEUMATOID_ARTHRITIS,,Polyneuropathy in rheumatoid arthritis,Long-term condition
F3964,,RHEUMATOID_ARTHRITIS,,Myopathy due to rheumatoid arthritis,Long-term condition
H570.,,RHEUMATOID_ARTHRITIS,,Rheumatoid lung,Long-term condition
N04..,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis and other inflammatory polyarthropathy,Long-term condition
N040.,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis,Long-term condition
N0400,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis of cervical spine,Long-term condition
N0401,,RHEUMATOID_ARTHRITIS,,Other rheumatoid arthritis of spine,Long-term condition
N0402,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis of shoulder,Long-term condition
N0403,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis of sternoclavicular joint,Long-term condition
N0404,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis of acromioclavicular joint,Long-term condition
N0405,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis of elbow,Long-term condition
N0406,,RHEUMATOID_ARTHRITIS,,Rheumatoid arthritis of distal radio-ulnar joint,Long-term condition
