code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
14250,,SKIN_CANCER,,H/O Malignant melanoma,Long-term condition
4M70.,,SKIN_CANCER,,Clark melanoma level 1,Long-term condition
4M71.,,SKIN_CANCER,,Clark melanoma level 2,Long-term condition
4M72.,,SKIN_CANCER,,Clark melanoma level 3,Long-term condition
4M73.,,SKIN_CANCER,,Clark melanoma level 4,Long-term condition
4M74.,,SKIN_CANCER,,Clark melanoma level 5,Long-term condition
7G03J,,SKIN_CANCER,,Excision of melanoma,Long-term condition
7G03K,,SKIN_CANCER,,Excision malignant skin tumour,Long-term condition
7G056,,SKIN_CANCER,,Excision biopsy of rodent ulcer,Long-term condition
B3...,,SKIN_CANCER,,"Carcinoma of bone, connective tissue, skin and breast",Long-term condition
B3104,,SKIN_CANCER,,Malignant neoplasm of tarsus of eyelid,Long-term condition
B32..,,SKIN_CANCER,,Malignant melanoma of skin,Long-term condition
B320.,,SKIN_CANCER,,Malignant melanoma of lip,Long-term condition
B321.,,SKIN_CANCER,,Malignant melanoma of eyelid including canthus,Long-term condition
B322.,,SKIN_CANCER,,Malignant melanoma of ear and external auricular canal,Long-term condition
B3220,,SKIN_CANCER,,Malignant melanoma of auricle (ear),Long-term condition
B3221,,SKIN_CANCER,,Malignant melanoma of external auditory meatus,Long-term condition
B322z,,SKIN_CANCER,,Malignant melanoma of ear and external auricular canal NOS,Long-term condition
B323.,,SKIN_CANCER,,Malignant melanoma of other and unspecified parts of face,Long-term condition
B3230,,SKIN_CANCER,,Malignant melanoma of external surface of cheek,Long-term condition
B3231,,SKIN_CANCER,,Malignant melanoma of chin,Long-term condition
B3232,,SKIN_CANCER,,Malignant melanoma of eyebrow,Long-term condition
B3233,,SKIN_CANCER,,Malignant melanoma of forehead,Long-term condition
B3234,,SKIN_CANCER,,Malignant melanoma of external surface of nose,Long-term condition
B3235,,SKIN_CANCER,,Malignant melanoma of temple,Long-term condition
B323z,,SKIN_CANCER,,Malignant melanoma of face NOS,Long-term condition
B324.,,SKIN_CANCER,,Malignant melanoma of scalp and neck,Long-term condition
B3240,,SKIN_CANCER,,Malignant melanoma of scalp,Long-term condition
B3241,,SKIN_CANCER,,Malignant melanoma of neck,Long-term condition
B324z,,SKIN_CANCER,,Malignant melanoma of scalp and neck NOS,Long-term condition
B325.,,SKIN_CANCER,,Malignant melanoma of trunk (excluding scrotum),Long-term condition
B3250,,SKIN_CANCER,,Malignant melanoma of axilla,Long-term condition
B3251,,SKIN_CANCER,,Malignant melanoma of breast,Long-term condition
B3252,,SKIN_CANCER,,Malignant melanoma of buttock,Long-term condition
