code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
141E.,,VIRAL_HEPATITIS,,,Long-term condition
14i..,,VIRAL_HEPATITIS,,H/O hepatitis C antiviral drug therapy,Long-term condition
21267,,VIRAL_HEPATITIS,,Hepatitis C resolved,Long-term condition
2J12.,,VIRAL_HEPATITIS,,Hepatitis C non immune,Long-term condition
43B4.,,VIRAL_HEPATITIS,,Hepatitis B surface antig +ve,Long-term condition
43B6.,,VIRAL_HEPATITIS,,Hepatitis B non immune,Long-term condition
43B7.,,VIRAL_HEPATITIS,,Hepatitis C non-immune,Long-term condition
43X3.,,VIRAL_HEPATITIS,,Hepatitis C antibody test positive,Long-term condition
4JQ3.,,VIRAL_HEPATITIS,,Hepatitis C virus genotype,Long-term condition
4JQD.,,VIRAL_HEPATITIS,,Hepatitis C PCR positive,Long-term condition
4JQF.,,VIRAL_HEPATITIS,,Hepatitis C antigen positive,Long-term condition
65Q7.,,VIRAL_HEPATITIS,,,Long-term condition
7Q052,,VIRAL_HEPATITIS,,Hepatitis B treatment drugs Band 1,Long-term condition
7Q053,,VIRAL_HEPATITIS,,RSV treatment and Hepatitis C treatment drugs Band 1,Long-term condition
8BB5.,,VIRAL_HEPATITIS,,12 week virologic response to hepatitis C treatment,Long-term condition
9NgR.,,VIRAL_HEPATITIS,,On hepatitis C treatment plan,Long-term condition
9kV..,,VIRAL_HEPATITIS,,Hepatitis C screening positive - enhanced services admin,Long-term condition
9kZ..,,VIRAL_HEPATITIS,,Hepatitis B screening positive,Long-term condition
A702.,,VIRAL_HEPATITIS,,,Long-term condition
A7020,,VIRAL_HEPATITIS,,,Long-term condition
A703.,,VIRAL_HEPATITIS,,,Long-term condition
A7030,,VIRAL_HEPATITIS,,,Long-term condition
A7040,,VIRAL_HEPATITIS,,,Long-term condition
A7050,,VIRAL_HEPATITIS,,,Long-term condition
A7051,,VIRAL_HEPATITIS,,,Long-term condition
A7054,,VIRAL_HEPATITIS,,,Long-term condition
A707.,,VIRAL_HEPATITIS,,,Long-term condition
A7070,,VIRAL_HEPATITIS,,,Long-term condition
A7071,,VIRAL_HEPATITIS,,,Long-term condition
A7072,,VIRAL_HEPATITIS,,,Long-term condition
A7073,,VIRAL_HEPATITIS,,Chronic viral hepatitis B,Long-term condition
A707X,,VIRAL_HEPATITIS,,,Long-term condition
A70A.,,VIRAL_HEPATITIS,,Hepatitis C genotype 1,Long-term condition
A70B.,,VIRAL_HEPATITIS,,Hepatitis C genotype 2,Long-term condition
A70C.,,VIRAL_HEPATITIS,,Hepatitis C genotype 3,Long-term condition
A70D.,,VIRAL_HEPATITIS,,Hepatitis C genotype 4,Long-term condition
A70E.,,VIRAL_HEPATITIS,,Hepatitis C genotype 5,Long-term condition
A70F.,,VIRAL_HEPATITIS,,Hepatitis C genotype 6,Long-term condition
A70G.,,VIRAL_HEPATITIS,,Acute hepatitis C,Long-term condition
A70z0,,VIRAL_HEPATITIS,,,Long-term condition
AE23.,,VIRAL_HEPATITIS,,,Long-term condition
AyuB1,,VIRAL_HEPATITIS,,,Long-term condition
AyuB2,,VIRAL_HEPATITIS,,,Long-term condition
AyuJ9,,VIRAL_HEPATITIS,,,Long-term condition
Q409.,,VIRAL_HEPATITIS,,,Long-term condition
Q4091,,VIRAL_HEPATITIS,,,Long-term condition
Q409y,,VIRAL_HEPATITIS,,,Long-term condition
Q409z,,VIRAL_HEPATITIS,,,Long-term condition
ZV026,,VIRAL_HEPATITIS,,,Long-term condition
ZV02B,,VIRAL_HEPATITIS,,,Long-term condition
ZV02C,,VIRAL_HEPATITIS,,,Long-term condition
